report_name,year,scope,page,value,unit,unit_normalized,label,status,scopes_present
addtech_2022_report,2019,1,73,2071.0,tonnes CO2e,t CO2e,SCOPE 1/Emissions of greenhouse gases - Scope 1,complete,1+2lb+2mb+3
addtech_2022_report,2020,1,73,1910.0,tonnes CO2e,t CO2e,SCOPE 1/Emissions of greenhouse gases - Scope 1,complete,1+2lb+2mb+3
addtech_2022_report,2021,1,73,2041.0,tonnes CO2e,t CO2e,SCOPE 1/Emissions of greenhouse gases - Scope 1,complete,1+2lb+2mb+3
addtech_2022_report,2022,1,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2013,2lb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2014,2lb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2015,2lb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2016,2lb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2017,2lb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2018,2lb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2019,2lb,73,3979.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Location Based Method /Emissions, energy consumption – Location Based Method (tonnes CO 2 e)",complete,1+2lb+2mb+3
addtech_2022_report,2020,2lb,73,3395.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Location Based Method /Emissions, energy consumption – Location Based Method (tonnes CO 2 e)",complete,1+2lb+2mb+3
addtech_2022_report,2021,2lb,73,3709.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Location Based Method /Emissions, energy consumption – Location Based Method (tonnes CO 2 e)",complete,1+2lb+2mb+3
addtech_2022_report,2022,2lb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2013,2mb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2014,2mb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2015,2mb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2016,2mb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2017,2mb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2018,2mb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2019,2mb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2020,2mb,73,4250.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Market Based Method (tonnes CO 2 e)",complete,1+2lb+2mb+3
addtech_2022_report,2021,2mb,73,4087.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Market Based Method (tonnes CO 2 e)",complete,1+2lb+2mb+3
addtech_2022_report,2022,2mb,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2013,3,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2014,3,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2015,3,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2016,3,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2017,3,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2018,3,,,,,,complete,1+2lb+2mb+3
addtech_2022_report,2019,3,73,23132.0,tonnes CO2e,t CO2e,SCOPE 3/Emissions of greenhouse gases - Scope 3,complete,1+2lb+2mb+3
addtech_2022_report,2020,3,73,19860.0,tonnes CO2e,t CO2e,SCOPE 4/Emissions of greenhouse gases - Scope 3,complete,1+2lb+2mb+3
addtech_2022_report,2021,3,73,22961.0,tonnes CO2e,t CO2e,SCOPE 5/Emissions of greenhouse gases - Scope 3,complete,1+2lb+2mb+3
addtech_2022_report,2022,3,,,,,,complete,1+2lb+2mb+3
aixtron_2020_report,2013,1,,,,,,partial,1+2lb+3
aixtron_2020_report,2014,1,,,,,,partial,1+2lb+3
aixtron_2020_report,2015,1,,,,,,partial,1+2lb+3
aixtron_2020_report,2016,1,,,,,,partial,1+2lb+3
aixtron_2020_report,2017,1,,,,,,partial,1+2lb+3
aixtron_2020_report,2018,1,,,,,,partial,1+2lb+3
aixtron_2020_report,2019,1,50,170.8,tonnes of CO2 equivalents,t CO2e,Scope 1 emissions,partial,1+2lb+3
aixtron_2020_report,2020,1,49,322.84,metric tons of CO2 equivalents,t CO2e,Scope 1 – Direct,partial,1+2lb+3
aixtron_2020_report,2020,1,50,322.84,tonnes of CO2 equivalents,t CO2e,Scope 1 emissions,partial,1+2lb+3
aixtron_2020_report,2021,1,,,,,,partial,1+2lb+3
aixtron_2020_report,2022,1,,,,,,partial,1+2lb+3
aixtron_2020_report,2013,2lb,,,,,,partial,1+2lb+3
aixtron_2020_report,2014,2lb,,,,,,partial,1+2lb+3
aixtron_2020_report,2015,2lb,,,,,,partial,1+2lb+3
aixtron_2020_report,2016,2lb,,,,,,partial,1+2lb+3
aixtron_2020_report,2017,2lb,,,,,,partial,1+2lb+3
aixtron_2020_report,2018,2lb,,,,,,partial,1+2lb+3
aixtron_2020_report,2019,2lb,50,406.6,tonnes of CO2 equivalents,t CO2e,Scope 2 emissions,partial,1+2lb+3
aixtron_2020_report,2020,2lb,49,398.14,metric tons of CO2 equivalents,t CO2e,Scope 2 – Indirect,partial,1+2lb+3
aixtron_2020_report,2020,2lb,50,398.14,tonnes of CO2 equivalents,t CO2e,Scope 2 emissions,partial,1+2lb+3
aixtron_2020_report,2021,2lb,,,,,,partial,1+2lb+3
aixtron_2020_report,2022,2lb,,,,,,partial,1+2lb+3
aixtron_2020_report,2013,2mb,,,,,,partial,1+2lb+3
aixtron_2020_report,2014,2mb,,,,,,partial,1+2lb+3
aixtron_2020_report,2015,2mb,,,,,,partial,1+2lb+3
aixtron_2020_report,2016,2mb,,,,,,partial,1+2lb+3
aixtron_2020_report,2017,2mb,,,,,,partial,1+2lb+3
aixtron_2020_report,2018,2mb,,,,,,partial,1+2lb+3
aixtron_2020_report,2019,2mb,,,,,,partial,1+2lb+3
aixtron_2020_report,2020,2mb,,,,,,partial,1+2lb+3
aixtron_2020_report,2021,2mb,,,,,,partial,1+2lb+3
aixtron_2020_report,2022,2mb,,,,,,partial,1+2lb+3
aixtron_2020_report,2013,3,,,,,,partial,1+2lb+3
aixtron_2020_report,2014,3,,,,,,partial,1+2lb+3
aixtron_2020_report,2015,3,,,,,,partial,1+2lb+3
aixtron_2020_report,2016,3,,,,,,partial,1+2lb+3
aixtron_2020_report,2017,3,,,,,,partial,1+2lb+3
aixtron_2020_report,2018,3,,,,,,partial,1+2lb+3
aixtron_2020_report,2019,3,50,3637.97,tonnes of CO2 equivalents,t CO2e,Scope 3 emissions,partial,1+2lb+3
aixtron_2020_report,2020,3,49,1310.1,metric tons of CO2 equivalents,t CO2e,Scope 3 – Indirect,partial,1+2lb+3
aixtron_2020_report,2020,3,50,1310.1,tonnes of CO2 equivalents,t CO2e,Scope 3 emissions,partial,1+2lb+3
aixtron_2020_report,2021,3,,,,,,partial,1+2lb+3
aixtron_2020_report,2022,3,,,,,,partial,1+2lb+3
allfunds group_2021_report,2013,1,,,,,,partial,1+2lb
allfunds group_2021_report,2014,1,,,,,,partial,1+2lb
allfunds group_2021_report,2015,1,,,,,,partial,1+2lb
allfunds group_2021_report,2016,1,,,,,,partial,1+2lb
allfunds group_2021_report,2017,1,,,,,,partial,1+2lb
allfunds group_2021_report,2018,1,,,,,,partial,1+2lb
allfunds group_2021_report,2019,1,142,68.51,tCO2e,t CO2e,Scope 1 CO 2 emissions,partial,1+2lb
allfunds group_2021_report,2020,1,142,0.0,tCO2e,t CO2e,Scope 1 CO 2 emissions,partial,1+2lb
allfunds group_2021_report,2021,1,125,7.31,t CO2eq,t CO2e,Scope 1 /Scope 1,partial,1+2lb
allfunds group_2021_report,2021,1,142,7.31,tCO2e,t CO2e,Scope 1 CO 2 emissions,partial,1+2lb
allfunds group_2021_report,2022,1,,,,,,partial,1+2lb
allfunds group_2021_report,2013,2lb,,,,,,partial,1+2lb
allfunds group_2021_report,2014,2lb,,,,,,partial,1+2lb
allfunds group_2021_report,2015,2lb,,,,,,partial,1+2lb
allfunds group_2021_report,2016,2lb,,,,,,partial,1+2lb
allfunds group_2021_report,2017,2lb,,,,,,partial,1+2lb
allfunds group_2021_report,2018,2lb,,,,,,partial,1+2lb
allfunds group_2021_report,2019,2lb,142,436.43,tCO2e,t CO2e,Scope 2 CO 2 emissions,partial,1+2lb
allfunds group_2021_report,2020,2lb,142,91.69,tCO2e,t CO2e,Scope 2 CO 2 emissions,partial,1+2lb
allfunds group_2021_report,2021,2lb,125,30.39,t CO2eq,t CO2e,Scope 2,partial,1+2lb
allfunds group_2021_report,2021,2lb,142,30.39,tCO2e,t CO2e,Scope 2 CO 2 emissions,partial,1+2lb
allfunds group_2021_report,2022,2lb,,,,,,partial,1+2lb
allfunds group_2021_report,2013,2mb,,,,,,partial,1+2lb
allfunds group_2021_report,2014,2mb,,,,,,partial,1+2lb
allfunds group_2021_report,2015,2mb,,,,,,partial,1+2lb
allfunds group_2021_report,2016,2mb,,,,,,partial,1+2lb
allfunds group_2021_report,2017,2mb,,,,,,partial,1+2lb
allfunds group_2021_report,2018,2mb,,,,,,partial,1+2lb
allfunds group_2021_report,2019,2mb,,,,,,partial,1+2lb
allfunds group_2021_report,2020,2mb,,,,,,partial,1+2lb
allfunds group_2021_report,2021,2mb,,,,,,partial,1+2lb
allfunds group_2021_report,2022,2mb,,,,,,partial,1+2lb
allfunds group_2021_report,2013,3,,,,,,partial,1+2lb
allfunds group_2021_report,2014,3,,,,,,partial,1+2lb
allfunds group_2021_report,2015,3,,,,,,partial,1+2lb
allfunds group_2021_report,2016,3,,,,,,partial,1+2lb
allfunds group_2021_report,2017,3,,,,,,partial,1+2lb
allfunds group_2021_report,2018,3,,,,,,partial,1+2lb
allfunds group_2021_report,2019,3,,,,,,partial,1+2lb
allfunds group_2021_report,2020,3,,,,,,partial,1+2lb
allfunds group_2021_report,2021,3,,,,,,partial,1+2lb
allfunds group_2021_report,2022,3,,,,,,partial,1+2lb
Allianz_2022_report,2013,1,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2014,1,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2015,1,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2016,1,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2017,1,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2018,1,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2019,1,92,42.0,ktCO₂eq,kt CO2e,Allianz Group operational greenhouse gas emissions - Scope 1/Scope 1,complete,1+2lb+2mb+3
Allianz_2022_report,2020,1,78,28714.0,t CO2e,t CO2e,Scope 1 – Direct GHG emissions,complete,1+2lb+2mb+3
Allianz_2022_report,2020,1,92,29.0,ktCO₂eq,kt CO2e,Allianz Group operational greenhouse gas emissions - Scope 1/Scope 1,complete,1+2lb+2mb+3
Allianz_2022_report,2021,1,78,28699.0,t CO2e,t CO2e,Scope 1 – Direct GHG emissions,complete,1+2lb+2mb+3
Allianz_2022_report,2021,1,92,29.0,ktCO₂eq,kt CO2e,Allianz Group operational greenhouse gas emissions - Scope 1/Scope 1,complete,1+2lb+2mb+3
Allianz_2022_report,2022,1,78,30953.0,t CO2e,t CO2e,Scope 1 – Direct GHG emissions,complete,1+2lb+2mb+3
Allianz_2022_report,2022,1,92,31.0,ktCO₂eq,kt CO2e,Allianz Group operational greenhouse gas emissions - Scope 1/Scope 1,complete,1+2lb+2mb+3
Allianz_2022_report,2013,2lb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2014,2lb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2015,2lb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2016,2lb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2017,2lb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2018,2lb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2019,2lb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2020,2lb,78,180826.0,t CO2e,t CO2e,Scope 2 – Indirect GHG emissions (location based),complete,1+2lb+2mb+3
Allianz_2022_report,2021,2lb,78,149599.0,t CO2e,t CO2e,Scope 2 – Indirect GHG emissions (location based),complete,1+2lb+2mb+3
Allianz_2022_report,2022,2lb,78,138339.0,t CO2e,t CO2e,Scope 2 – Indirect GHG emissions (location based),complete,1+2lb+2mb+3
Allianz_2022_report,2013,2mb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2014,2mb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2015,2mb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2016,2mb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2017,2mb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2018,2mb,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2019,2mb,92,143.0,ktCO₂eq,kt CO2e,Scope 2 – market based,complete,1+2lb+2mb+3
Allianz_2022_report,2020,2mb,78,100722.0,t CO2e,t CO2e,Scope 2 – Indirect GHG emissions (market based)/Scope 2 – Indirect GHG emissions (market based),complete,1+2lb+2mb+3
Allianz_2022_report,2020,2mb,92,101.0,ktCO₂eq,kt CO2e,Allianz Group operational greenhouse gas emissions - Scope 2 - market based,complete,1+2lb+2mb+3
Allianz_2022_report,2021,2mb,78,54689.0,t CO2e,t CO2e,Scope 2 – Indirect GHG emissions (market based)/Scope 2 – Indirect GHG emissions (market based),complete,1+2lb+2mb+3
Allianz_2022_report,2021,2mb,92,55.0,ktCO₂eq,kt CO2e,Allianz Group operational greenhouse gas emissions - Scope 2 - market based,complete,1+2lb+2mb+3
Allianz_2022_report,2022,2mb,78,30490.0,t CO2e,t CO2e,Scope 2 – Indirect GHG emissions (market based)/Scope 2 – Indirect GHG emissions (market based),complete,1+2lb+2mb+3
Allianz_2022_report,2022,2mb,92,30.0,ktCO₂eq,kt CO2e,Allianz Group operational greenhouse gas emissions - Scope 2 - market based,complete,1+2lb+2mb+3
Allianz_2022_report,2013,3,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2014,3,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2015,3,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2016,3,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2017,3,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2018,3,,,,,,complete,1+2lb+2mb+3
Allianz_2022_report,2019,3,92,149.0,ktCO₂eq,kt CO2e,Allianz Group operational greenhouse gas emissions - Scope 3,complete,1+2lb+2mb+3
Allianz_2022_report,2020,3,78,73916.0,t CO2e,t CO2e,Scope 3 – Other indirect GHG emissions,complete,1+2lb+2mb+3
Allianz_2022_report,2020,3,92,74.0,ktCO₂eq,kt CO2e,Allianz Group operational greenhouse gas emissions - Scope 3,complete,1+2lb+2mb+3
Allianz_2022_report,2021,3,78,55359.0,t CO2e,t CO2e,Scope 3 – Other indirect GHG emissions,complete,1+2lb+2mb+3
Allianz_2022_report,2021,3,92,55.0,ktCO₂eq,kt CO2e,Allianz Group operational greenhouse gas emissions - Scope 3,complete,1+2lb+2mb+3
Allianz_2022_report,2022,3,78,92467.0,t CO2e,t CO2e,Scope 3 – Other indirect GHG emissions,complete,1+2lb+2mb+3
Allianz_2022_report,2022,3,92,92.0,ktCO₂eq,kt CO2e,Allianz Group operational greenhouse gas emissions - Scope 3,complete,1+2lb+2mb+3
alumina ltd_2022_report,2013,1,,,,,,useless,
alumina ltd_2022_report,2014,1,,,,,,useless,
alumina ltd_2022_report,2015,1,,,,,,useless,
alumina ltd_2022_report,2016,1,,,,,,useless,
alumina ltd_2022_report,2017,1,,,,,,useless,
alumina ltd_2022_report,2018,1,,,,,,useless,
alumina ltd_2022_report,2019,1,,,,,,useless,
alumina ltd_2022_report,2020,1,,,,,,useless,
alumina ltd_2022_report,2021,1,,,,,,useless,
alumina ltd_2022_report,2022,1,,,,,,useless,
alumina ltd_2022_report,2013,2lb,,,,,,useless,
alumina ltd_2022_report,2014,2lb,,,,,,useless,
alumina ltd_2022_report,2015,2lb,,,,,,useless,
alumina ltd_2022_report,2016,2lb,,,,,,useless,
alumina ltd_2022_report,2017,2lb,,,,,,useless,
alumina ltd_2022_report,2018,2lb,,,,,,useless,
alumina ltd_2022_report,2019,2lb,,,,,,useless,
alumina ltd_2022_report,2020,2lb,,,,,,useless,
alumina ltd_2022_report,2021,2lb,,,,,,useless,
alumina ltd_2022_report,2022,2lb,,,,,,useless,
alumina ltd_2022_report,2013,2mb,,,,,,useless,
alumina ltd_2022_report,2014,2mb,,,,,,useless,
alumina ltd_2022_report,2015,2mb,,,,,,useless,
alumina ltd_2022_report,2016,2mb,,,,,,useless,
alumina ltd_2022_report,2017,2mb,,,,,,useless,
alumina ltd_2022_report,2018,2mb,,,,,,useless,
alumina ltd_2022_report,2019,2mb,,,,,,useless,
alumina ltd_2022_report,2020,2mb,,,,,,useless,
alumina ltd_2022_report,2021,2mb,,,,,,useless,
alumina ltd_2022_report,2022,2mb,,,,,,useless,
alumina ltd_2022_report,2013,3,,,,,,useless,
alumina ltd_2022_report,2014,3,,,,,,useless,
alumina ltd_2022_report,2015,3,,,,,,useless,
alumina ltd_2022_report,2016,3,,,,,,useless,
alumina ltd_2022_report,2017,3,,,,,,useless,
alumina ltd_2022_report,2018,3,,,,,,useless,
alumina ltd_2022_report,2019,3,,,,,,useless,
alumina ltd_2022_report,2020,3,,,,,,useless,
alumina ltd_2022_report,2021,3,,,,,,useless,
alumina ltd_2022_report,2022,3,,,,,,useless,
amano corp_2022_report,2013,1,,,,,,useless,
amano corp_2022_report,2014,1,,,,,,useless,
amano corp_2022_report,2015,1,,,,,,useless,
amano corp_2022_report,2016,1,,,,,,useless,
amano corp_2022_report,2017,1,,,,,,useless,
amano corp_2022_report,2018,1,,,,,,useless,
amano corp_2022_report,2019,1,,,,,,useless,
amano corp_2022_report,2020,1,,,,,,useless,
amano corp_2022_report,2021,1,,,,,,useless,
amano corp_2022_report,2022,1,,,,,,useless,
amano corp_2022_report,2013,2lb,,,,,,useless,
amano corp_2022_report,2014,2lb,,,,,,useless,
amano corp_2022_report,2015,2lb,,,,,,useless,
amano corp_2022_report,2016,2lb,,,,,,useless,
amano corp_2022_report,2017,2lb,,,,,,useless,
amano corp_2022_report,2018,2lb,,,,,,useless,
amano corp_2022_report,2019,2lb,,,,,,useless,
amano corp_2022_report,2020,2lb,,,,,,useless,
amano corp_2022_report,2021,2lb,,,,,,useless,
amano corp_2022_report,2022,2lb,,,,,,useless,
amano corp_2022_report,2013,2mb,,,,,,useless,
amano corp_2022_report,2014,2mb,,,,,,useless,
amano corp_2022_report,2015,2mb,,,,,,useless,
amano corp_2022_report,2016,2mb,,,,,,useless,
amano corp_2022_report,2017,2mb,,,,,,useless,
amano corp_2022_report,2018,2mb,,,,,,useless,
amano corp_2022_report,2019,2mb,,,,,,useless,
amano corp_2022_report,2020,2mb,,,,,,useless,
amano corp_2022_report,2021,2mb,,,,,,useless,
amano corp_2022_report,2022,2mb,,,,,,useless,
amano corp_2022_report,2013,3,,,,,,useless,
amano corp_2022_report,2014,3,,,,,,useless,
amano corp_2022_report,2015,3,,,,,,useless,
amano corp_2022_report,2016,3,,,,,,useless,
amano corp_2022_report,2017,3,,,,,,useless,
amano corp_2022_report,2018,3,,,,,,useless,
amano corp_2022_report,2019,3,,,,,,useless,
amano corp_2022_report,2020,3,,,,,,useless,
amano corp_2022_report,2021,3,,,,,,useless,
amano corp_2022_report,2022,3,,,,,,useless,
americold realty inc_2022_report,2013,1,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2014,1,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2015,1,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2016,1,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2017,1,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2018,1,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2019,1,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2020,1,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2021,1,53,72314.0,MTCO2e,MT CO2e,Scope 1 Emissions/Scope 1 Emissions,partial,1+2mb+3
americold realty inc_2022_report,2022,1,53,102340.0,MTCO2e,MT CO2e,Scope 1 Emissions/Scope 1 Emissions,partial,1+2mb+3
americold realty inc_2022_report,2013,2lb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2014,2lb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2015,2lb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2016,2lb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2017,2lb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2018,2lb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2019,2lb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2020,2lb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2021,2lb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2022,2lb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2013,2mb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2014,2mb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2015,2mb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2016,2mb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2017,2mb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2018,2mb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2019,2mb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2020,2mb,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2021,2mb,53,556660.0,MTCO2e,MT CO2e,Market-Based Scope 2 Emissions/Market-Based Scope 2 Emissions,partial,1+2mb+3
americold realty inc_2022_report,2022,2mb,53,554491.0,MTCO2e,MT CO2e,Market-Based Scope 2 Emissions/Market-Based Scope 2 Emissions,partial,1+2mb+3
americold realty inc_2022_report,2013,3,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2014,3,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2015,3,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2016,3,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2017,3,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2018,3,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2019,3,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2020,3,,,,,,partial,1+2mb+3
americold realty inc_2022_report,2021,3,53,1067697.0,MTCO2e,MT CO2e,Scope 3 Emissions/Scope 3 Emissions,partial,1+2mb+3
americold realty inc_2022_report,2022,3,53,611634.0,MTCO2e,MT CO2e,Scope 3 Emissions/Scope 3 Emissions,partial,1+2mb+3
amicus therapeutics_2022_report,2013,1,,,,,,useless,
amicus therapeutics_2022_report,2014,1,,,,,,useless,
amicus therapeutics_2022_report,2015,1,,,,,,useless,
amicus therapeutics_2022_report,2016,1,,,,,,useless,
amicus therapeutics_2022_report,2017,1,,,,,,useless,
amicus therapeutics_2022_report,2018,1,,,,,,useless,
amicus therapeutics_2022_report,2019,1,,,,,,useless,
amicus therapeutics_2022_report,2020,1,,,,,,useless,
amicus therapeutics_2022_report,2021,1,,,,,,useless,
amicus therapeutics_2022_report,2022,1,,,,,,useless,
amicus therapeutics_2022_report,2013,2lb,,,,,,useless,
amicus therapeutics_2022_report,2014,2lb,,,,,,useless,
amicus therapeutics_2022_report,2015,2lb,,,,,,useless,
amicus therapeutics_2022_report,2016,2lb,,,,,,useless,
amicus therapeutics_2022_report,2017,2lb,,,,,,useless,
amicus therapeutics_2022_report,2018,2lb,,,,,,useless,
amicus therapeutics_2022_report,2019,2lb,,,,,,useless,
amicus therapeutics_2022_report,2020,2lb,,,,,,useless,
