model,report_name,page,phase,top_k_pages,hit_topk,hit_expanded,top_10,top_10_scores
nvidia/nemotron-colembed-vl-8b-v2,atlas arteria_2019_report,9,8B,"[9, 0, 3]",True,True,"[9, 0, 3, 6, 8, 12, 2, 4, 1, 11]","[37.342811584472656, 35.791473388671875, 35.77291488647461, 35.722068786621094, 35.67028045654297, 35.64924621582031, 35.646453857421875, 35.60783767700195, 35.602134704589844, 35.597469329833984]"
nvidia/nemotron-colembed-vl-8b-v2,autoneum holding_2019_report,27,8B,"[26, 25, 36]",True,True,"[26, 25, 36, 23, 6, 24, 12, 31, 35, 7]","[37.47967529296875, 37.29538345336914, 36.79462432861328, 36.596214294433594, 35.85454559326172, 35.84996032714844, 35.816001892089844, 35.800636291503906, 35.793243408203125, 35.77079772949219]"
nvidia/nemotron-colembed-vl-8b-v2,bekaert (d) sa_2022_report,272,8B,"[270, 271, 275]",True,True,"[270, 271, 275, 267, 273, 274, 277, 272, 266, 276]","[37.56940460205078, 37.380332946777344, 37.376121520996094, 37.34119415283203, 37.26667785644531, 37.189239501953125, 37.145843505859375, 37.145294189453125, 37.10740661621094, 37.02414321899414]"
nvidia/nemotron-colembed-vl-8b-v2,bekaert (d) sa_2022_report,276,8B,"[270, 271, 275]",True,True,"[270, 271, 275, 267, 273, 274, 277, 272, 266, 276]","[37.56940460205078, 37.380332946777344, 37.376121520996094, 37.34119415283203, 37.26667785644531, 37.189239501953125, 37.145843505859375, 37.145294189453125, 37.10740661621094, 37.02414321899414]"
nvidia/nemotron-colembed-vl-8b-v2,blackline safety_2021_report,19,8B,"[20, 57, 19]",True,True,"[20, 57, 19, 4, 24, 62, 2, 68, 10, 23]","[37.804344177246094, 36.82756042480469, 36.825714111328125, 36.73627471923828, 36.47762680053711, 36.18156433105469, 36.0933723449707, 36.03019714355469, 36.02756881713867, 35.99925231933594]"
nvidia/nemotron-colembed-vl-8b-v2,cabot corp_2018_report,22,8B,"[21, 40, 22]",True,True,"[21, 40, 22, 17, 36, 1, 19, 5, 20, 23]","[37.36747741699219, 36.95524597167969, 36.26506423950195, 36.20556640625, 36.20145034790039, 36.119476318359375, 36.05595397949219, 36.054744720458984, 36.04397201538086, 35.995548248291016]"
nvidia/nemotron-colembed-vl-8b-v2,cardinal energy ltd_2021_report,19,8B,"[18, 7, 19]",True,True,"[18, 7, 19, 8, 20, 1, 6, 2, 4, 12]","[36.63275146484375, 36.46308135986328, 36.23907470703125, 36.205055236816406, 36.16999435424805, 36.13085174560547, 36.097015380859375, 35.98931121826172, 35.978668212890625, 35.94218063354492]"
nvidia/nemotron-colembed-vl-8b-v2,comerica inc_2019_report,44,8B,"[43, 44, 58]",True,True,"[43, 44, 58, 26, 45, 42, 46, 47, 57, 25]","[37.54689407348633, 37.11780548095703, 36.89928436279297, 36.617401123046875, 36.16923522949219, 36.119178771972656, 36.11177062988281, 36.080894470214844, 36.0646858215332, 35.95620346069336]"
nvidia/nemotron-colembed-vl-8b-v2,cytokinetics inc_2022_report,22,8B,"[23, 6, 1]",False,True,"[23, 6, 1, 27, 28, 26, 0, 7, 2, 16]","[37.129676818847656, 35.862648010253906, 35.833438873291016, 35.83118438720703, 35.825889587402344, 35.82324981689453, 35.76275634765625, 35.75830841064453, 35.743194580078125, 35.739532470703125]"
nvidia/nemotron-colembed-vl-8b-v2,Daimler_2020_report,63,8B,"[62, 58, 49]",True,True,"[62, 58, 49, 180, 178, 181, 182, 51, 66, 71]","[37.426204681396484, 37.315433502197266, 37.21625518798828, 37.185760498046875, 37.028961181640625, 36.95490646362305, 36.94842529296875, 36.58415222167969, 36.57447814941406, 36.45347595214844]"
nvidia/nemotron-colembed-vl-8b-v2,dampskibsselskabet norden_2019_report,63,8B,"[62, 63, 51]",True,True,"[62, 63, 51, 8, 46, 52, 134, 82, 109, 31]","[37.20420837402344, 36.977516174316406, 36.54197692871094, 36.308189392089844, 36.26250076293945, 36.22381591796875, 36.160125732421875, 36.148284912109375, 36.136085510253906, 36.12057113647461]"
nvidia/nemotron-colembed-vl-8b-v2,evolution mining ltd_2020_report,44,8B,"[43, 28, 47]",True,True,"[43, 28, 47, 27, 45, 26, 42, 0, 44, 46]","[37.405738830566406, 36.89588928222656, 36.639156341552734, 36.396568298339844, 36.2249755859375, 36.09495162963867, 36.07479476928711, 35.9456787109375, 35.89299392700195, 35.85333251953125]"
nvidia/nemotron-colembed-vl-8b-v2,Fresenius SE_2019_report,126,8B,"[125, 124, 219]",True,True,"[125, 124, 219, 170, 52, 195, 223, 3, 66, 123]","[37.28345489501953, 36.10382843017578, 36.059627532958984, 36.04124450683594, 36.030540466308594, 36.026981353759766, 36.0263557434082, 36.02009582519531, 36.01014709472656, 36.00498580932617]"
nvidia/nemotron-colembed-vl-8b-v2,fujifilm_2022_report,80,8B,"[79, 80, 69]",True,True,"[79, 80, 69, 67, 65, 139, 75, 81, 98, 71]","[37.45977783203125, 37.17162322998047, 36.83294677734375, 36.746253967285156, 36.61793518066406, 36.56218338012695, 36.53676223754883, 36.53217315673828, 36.51421356201172, 36.44548034667969]"
nvidia/nemotron-colembed-vl-8b-v2,fujifilm_2022_report,81,8B,"[79, 80, 69]",True,True,"[79, 80, 69, 67, 65, 139, 75, 81, 98, 71]","[37.45977783203125, 37.17162322998047, 36.83294677734375, 36.746253967285156, 36.61793518066406, 36.56218338012695, 36.53676223754883, 36.53217315673828, 36.51421356201172, 36.44548034667969]"
nvidia/nemotron-colembed-vl-8b-v2,georg fischer ag_2018_report,17,8B,"[16, 2, 7]",True,True,"[16, 2, 7, 13, 17, 14, 18, 9, 15, 1]","[37.60393142700195, 36.45215606689453, 36.376800537109375, 36.27680206298828, 36.23845672607422, 36.008636474609375, 35.9926872253418, 35.98981475830078, 35.90242004394531, 35.87004852294922]"
nvidia/nemotron-colembed-vl-8b-v2,graincorp_2019_report,7,8B,"[6, 7, 3]",True,True,"[6, 7, 3, 4, 0, 5, 9, 8, 1, 2]","[37.16344451904297, 35.97099685668945, 35.935386657714844, 35.907127380371094, 35.831642150878906, 35.730857849121094, 35.72804260253906, 35.70836639404297, 35.69853210449219, 35.635894775390625]"
nvidia/nemotron-colembed-vl-8b-v2,granite construction inc_2020_report,66,8B,"[67, 66, 103]",True,True,"[67, 66, 103, 64, 112, 116, 19, 24, 65, 12]","[37.318119049072266, 37.17033386230469, 37.0518798828125, 36.981773376464844, 36.78657913208008, 36.60881423950195, 36.57847595214844, 36.49338912963867, 36.431114196777344, 36.150264739990234]"
nvidia/nemotron-colembed-vl-8b-v2,granite construction inc_2020_report,103,8B,"[67, 66, 103]",True,True,"[67, 66, 103, 64, 112, 116, 19, 24, 65, 12]","[37.318119049072266, 37.17033386230469, 37.0518798828125, 36.981773376464844, 36.78657913208008, 36.60881423950195, 36.57847595214844, 36.49338912963867, 36.431114196777344, 36.150264739990234]"
nvidia/nemotron-colembed-vl-8b-v2,granite construction inc_2020_report,112,8B,"[67, 66, 103]",False,False,"[67, 66, 103, 64, 112, 116, 19, 24, 65, 12]","[37.318119049072266, 37.17033386230469, 37.0518798828125, 36.981773376464844, 36.78657913208008, 36.60881423950195, 36.57847595214844, 36.49338912963867, 36.431114196777344, 36.150264739990234]"
nvidia/nemotron-colembed-vl-8b-v2,granite construction inc_2020_report,67,8B,"[67, 66, 103]",True,True,"[67, 66, 103, 64, 112, 116, 19, 24, 65, 12]","[37.318119049072266, 37.17033386230469, 37.0518798828125, 36.981773376464844, 36.78657913208008, 36.60881423950195, 36.57847595214844, 36.49338912963867, 36.431114196777344, 36.150264739990234]"
nvidia/nemotron-colembed-vl-8b-v2,h. lundbeck_2021_report,28,8B,"[27, 37, 28]",True,True,"[27, 37, 28, 16, 4, 29, 7, 39, 17, 18]","[37.180145263671875, 36.964271545410156, 36.90376281738281, 36.86820602416992, 36.8629150390625, 36.79017639160156, 36.65240478515625, 36.52059555053711, 36.49028778076172, 36.36726379394531]"
nvidia/nemotron-colembed-vl-8b-v2,hammerson reit_2021_report,173,8B,"[174, 22, 179]",False,True,"[174, 22, 179, 17, 35, 14, 18, 9, 71, 68]","[37.181217193603516, 37.00373077392578, 36.93258285522461, 36.8309326171875, 36.71155548095703, 36.53725814819336, 36.45706558227539, 36.3735237121582, 36.36151885986328, 36.296417236328125]"
nvidia/nemotron-colembed-vl-8b-v2,hang lung properties_2018_report,53,8B,"[53, 32, 64]",True,True,"[53, 32, 64, 59, 33, 27, 10, 52, 0, 54]","[37.30207443237305, 36.90355682373047, 36.874202728271484, 36.74467468261719, 36.69401931762695, 36.216026306152344, 36.184608459472656, 36.1492919921875, 36.14500427246094, 36.14421463012695]"
nvidia/nemotron-colembed-vl-8b-v2,healius ltd_2022_report,50,8B,"[49, 47, 11]",True,True,"[49, 47, 11, 17, 48, 55, 14, 4, 52, 65]","[37.31626510620117, 37.193260192871094, 37.08125305175781, 36.76466369628906, 36.60854721069336, 36.528343200683594, 36.52764129638672, 36.519920349121094, 36.47596740722656, 36.05951690673828]"
nvidia/nemotron-colembed-vl-8b-v2,hudbay minerals inc_2020_report,95,8B,"[94, 109, 115]",True,True,"[94, 109, 115, 41, 99, 42, 69, 73, 46, 93]","[36.8923454284668, 36.788719177246094, 36.604793548583984, 36.50718307495117, 36.44331359863281, 36.393089294433594, 36.27897262573242, 36.234954833984375, 36.18043899536133, 36.16985321044922]"
nvidia/nemotron-colembed-vl-8b-v2,huhtamaki_2018_report,48,8B,"[47, 46, 55]",True,True,"[47, 46, 55, 50, 51, 45, 49, 25, 3, 27]","[37.43450927734375, 37.13264465332031, 36.819923400878906, 36.69914245605469, 36.513832092285156, 36.146522521972656, 36.14447021484375, 36.12482833862305, 36.05012893676758, 35.95030212402344]"
nvidia/nemotron-colembed-vl-8b-v2,huhtamaki_2019_report,44,8B,"[43, 53, 58]",True,True,"[43, 53, 58, 54, 42, 40, 44, 52, 30, 41]","[37.51297378540039, 36.83045196533203, 36.67957305908203, 36.50782012939453, 36.2943115234375, 36.211143493652344, 36.10491943359375, 36.08422088623047, 35.99599838256836, 35.97950744628906]"
nvidia/nemotron-colembed-vl-8b-v2,inchcape plc_2022_report,120,8B,"[55, 121, 45]",False,True,"[55, 121, 45, 28, 53, 95, 24, 15, 43, 71]","[37.455963134765625, 37.45457458496094, 36.88518142700195, 36.83422088623047, 36.826866149902344, 36.76301956176758, 36.71875, 36.711761474609375, 36.697566986083984, 36.684547424316406]"
nvidia/nemotron-colembed-vl-8b-v2,inchcape plc_2022_report,54,8B,"[55, 121, 45]",False,True,"[55, 121, 45, 28, 53, 95, 24, 15, 43, 71]","[37.455963134765625, 37.45457458496094, 36.88518142700195, 36.83422088623047, 36.826866149902344, 36.76301956176758, 36.71875, 36.711761474609375, 36.697566986083984, 36.684547424316406]"
nvidia/nemotron-colembed-vl-8b-v2,innospec inc_2020_report,36,8B,"[36, 37, 35]",True,True,"[36, 37, 35, 28, 47, 3, 39, 17, 2, 44]","[37.15728759765625, 36.93805694580078, 36.365203857421875, 36.274452209472656, 36.22098922729492, 36.14342498779297, 36.143028259277344, 36.12694549560547, 36.01648712158203, 35.96564483642578]"
nvidia/nemotron-colembed-vl-8b-v2,jetblue airways corp_2019_report,10,8B,"[9, 8, 7]",True,True,"[9, 8, 7, 10, 6, 5, 1, 2, 3, 0]","[37.67880630493164, 37.65158462524414, 37.3631706237793, 37.20149230957031, 36.261051177978516, 36.13283920288086, 35.92655944824219, 35.92280197143555, 35.883541107177734, 35.73173904418945]"
nvidia/nemotron-colembed-vl-8b-v2,jetblue airways corp_2019_report,9,8B,"[9, 8, 7]",True,True,"[9, 8, 7, 10, 6, 5, 1, 2, 3, 0]","[37.67880630493164, 37.65158462524414, 37.3631706237793, 37.20149230957031, 36.261051177978516, 36.13283920288086, 35.92655944824219, 35.92280197143555, 35.883541107177734, 35.73173904418945]"
nvidia/nemotron-colembed-vl-8b-v2,jetblue airways corp_2019_report,11,8B,"[9, 8, 7]",False,True,"[9, 8, 7, 10, 6, 5, 1, 2, 3, 0]","[37.67880630493164, 37.65158462524414, 37.3631706237793, 37.20149230957031, 36.261051177978516, 36.13283920288086, 35.92655944824219, 35.92280197143555, 35.883541107177734, 35.73173904418945]"
nvidia/nemotron-colembed-vl-8b-v2,jpmorgan chase_2020_report,32,8B,"[31, 28, 27]",True,True,"[31, 28, 27, 49, 57, 50, 29, 55, 0, 51]","[37.47027587890625, 37.095645904541016, 36.86048889160156, 36.811668395996094, 36.5645637512207, 36.13188934326172, 36.0553092956543, 36.052574157714844, 36.02675247192383, 35.963722229003906]"
nvidia/nemotron-colembed-vl-8b-v2,jpmorgan chase_2020_report,29,8B,"[31, 28, 27]",True,True,"[31, 28, 27, 49, 57, 50, 29, 55, 0, 51]","[37.47027587890625, 37.095645904541016, 36.86048889160156, 36.811668395996094, 36.5645637512207, 36.13188934326172, 36.0553092956543, 36.052574157714844, 36.02675247192383, 35.963722229003906]"
nvidia/nemotron-colembed-vl-8b-v2,kfw_2018_report,91,8B,"[90, 89, 114]",True,True,"[90, 89, 114, 91, 107, 88, 83, 21, 86, 87]","[37.7029914855957, 37.06786346435547, 36.87693786621094, 36.651878356933594, 36.57636260986328, 36.365482330322266, 36.17184066772461, 36.160892486572266, 36.16088104248047, 36.12443161010742]"
nvidia/nemotron-colembed-vl-8b-v2,kilroy realty_2017_report,35,8B,"[34, 67, 7]",True,True,"[34, 67, 7, 64, 65, 27, 66, 33, 44, 62]","[37.25214385986328, 36.974159240722656, 36.71204376220703, 36.672569274902344, 36.55300521850586, 36.47747039794922, 36.47191619873047, 36.43971252441406, 36.24527359008789, 36.05689239501953]"
nvidia/nemotron-colembed-vl-8b-v2,kilroy realty_2017_report,68,8B,"[34, 67, 7]",True,True,"[34, 67, 7, 64, 65, 27, 66, 33, 44, 62]","[37.25214385986328, 36.974159240722656, 36.71204376220703, 36.672569274902344, 36.55300521850586, 36.47747039794922, 36.47191619873047, 36.43971252441406, 36.24527359008789, 36.05689239501953]"
nvidia/nemotron-colembed-vl-8b-v2,kilroy realty_2018_report,14,8B,"[69, 13, 61]",True,True,"[69, 13, 61, 16, 67, 11, 14, 12, 68, 58]","[37.230377197265625, 37.14068603515625, 36.90372848510742, 36.654632568359375, 36.64424514770508, 36.52886199951172, 36.411407470703125, 36.37106704711914, 36.36103820800781, 36.17881774902344]"
nvidia/nemotron-colembed-vl-8b-v2,kureha corp_2020_report,8,8B,"[7, 8, 5]",True,True,"[7, 8, 5, 2, 0, 1, 4, 9, 3, 6]","[37.492279052734375, 36.715362548828125, 35.908634185791016, 35.885684967041016, 35.81725311279297, 35.81607437133789, 35.79253005981445, 35.760231018066406, 35.695648193359375, 35.693695068359375]"
nvidia/nemotron-colembed-vl-8b-v2,lundin gold inc_2021_report,26,8B,"[24, 25, 23]",True,True,"[24, 25, 23, 12, 22, 1, 61, 69, 55, 38]","[37.29389190673828, 37.25498962402344, 36.743324279785156, 36.346588134765625, 36.042213439941406, 36.00547790527344, 35.990997314453125, 35.931034088134766, 35.88605499267578, 35.871978759765625]"
nvidia/nemotron-colembed-vl-8b-v2,lundin gold inc_2022_report,13,8B,"[12, 11, 6]",True,True,"[12, 11, 6, 10, 13, 46, 1, 62, 40, 27]","[37.583492279052734, 37.05314254760742, 36.744056701660156, 36.575439453125, 36.174102783203125, 35.97438049316406, 35.96047592163086, 35.96047592163086, 35.95648193359375, 35.952781677246094]"
nvidia/nemotron-colembed-vl-8b-v2,metro ag_2022_report,47,8B,"[46, 21, 47]",True,True,"[46, 21, 47, 22, 38, 49, 42, 20, 45, 44]","[37.42638397216797, 37.081966400146484, 36.738460540771484, 36.4093017578125, 36.20610809326172, 36.103302001953125, 36.078651428222656, 36.031455993652344, 36.02912139892578, 36.02381896972656]"
nvidia/nemotron-colembed-vl-8b-v2,morinaga ltd_2020_report,56,8B,"[55, 44, 56]",True,True,"[55, 44, 56, 43, 46, 42, 41, 58, 57, 13]","[37.664100646972656, 36.934364318847656, 36.54772186279297, 36.40397644042969, 36.378822326660156, 36.37095642089844, 36.297096252441406, 36.27572250366211, 36.21862030029297, 36.1379280090332]"
nvidia/nemotron-colembed-vl-8b-v2,nippn corp_2022_report,24,8B,"[23, 9, 12]",True,True,"[23, 9, 12, 22, 16, 8, 1, 0, 6, 5]","[36.91893005371094, 36.85063171386719, 36.6143798828125, 36.07318115234375, 35.97409439086914, 35.931968688964844, 35.84661865234375, 35.84218978881836, 35.808860778808594, 35.79820251464844]"
nvidia/nemotron-colembed-vl-8b-v2,nok corporation_2021_report,30,8B,"[29, 31, 30]",True,True,"[29, 31, 30, 28, 34, 35, 3, 8, 12, 18]","[37.37229919433594, 37.204078674316406, 36.5958251953125, 36.58399200439453, 36.298828125, 36.23423767089844, 36.1917839050293, 35.93444061279297, 35.90556335449219, 35.88657760620117]"
nvidia/nemotron-colembed-vl-8b-v2,nordea_2017_report,37,8B,"[36, 42, 16]",True,True,"[36, 42, 16, 37, 11, 35, 20, 33, 46, 8]","[37.369964599609375, 36.809837341308594, 36.62916946411133, 36.40196990966797, 36.30670166015625, 36.12702178955078, 35.94234848022461, 35.922550201416016, 35.901145935058594, 35.85174560546875]"
nvidia/nemotron-colembed-vl-8b-v2,polaris_2021_report,73,8B,"[72, 14, 79]",True,True,"[72, 14, 79, 78, 58, 93, 87, 37, 63, 32]","[37.65862274169922, 37.34052658081055, 37.20751190185547, 37.075313568115234, 37.066226959228516, 37.0620231628418, 37.059288024902344, 37.04115295410156, 37.03281021118164, 37.029136657714844]"
nvidia/nemotron-colembed-vl-8b-v2,salzgitter ag_2018_report,19,8B,"[18, 17, 6]",True,True,"[18, 17, 6, 13, 15, 19, 35, 8, 31, 16]","[37.16006851196289, 37.13531494140625, 36.34727478027344, 36.069541931152344, 36.040870666503906, 36.02668380737305, 36.01526641845703, 36.01057434082031, 35.97088623046875, 35.934661865234375]"
nvidia/nemotron-colembed-vl-8b-v2,sato oyj_2022_report,34,8B,"[33, 44, 48]",True,True,"[33, 44, 48, 34, 50, 22, 41, 15, 17, 16]","[37.37816619873047, 36.83113098144531, 36.55620574951172, 36.51117706298828, 36.37225341796875, 36.332611083984375, 36.144752502441406, 36.123050689697266, 36.07398986816406, 36.05253982543945]"
nvidia/nemotron-colembed-vl-8b-v2,stantec inc_2019_report,79,8B,"[78, 30, 79]",True,True,"[78, 30, 79, 77, 5, 24, 56, 66, 71, 26]","[37.470924377441406, 37.17497253417969, 36.807655334472656, 36.634544372558594, 36.54359817504883, 36.14418029785156, 36.0929069519043, 36.06524658203125, 36.058860778808594, 36.053863525390625]"
nvidia/nemotron-colembed-vl-8b-v2,sumitomo corporation_2021_report,139,8B,"[124, 139, 39]",True,True,"[124, 139, 39, 42, 25, 126, 125, 14, 131, 130]","[37.620548248291016, 37.3652229309082, 37.28191375732422, 36.90676498413086, 36.82295227050781, 36.62803649902344, 36.45555114746094, 36.42019271850586, 36.38408660888672, 36.31052780151367]"
nvidia/nemotron-colembed-vl-8b-v2,sumitomo corporation_2021_report,124,8B,"[124, 139, 39]",True,True,"[124, 139, 39, 42, 25, 126, 125, 14, 131, 130]","[37.620548248291016, 37.3652229309082, 37.28191375732422, 36.90676498413086, 36.82295227050781, 36.62803649902344, 36.45555114746094, 36.42019271850586, 36.38408660888672, 36.31052780151367]"
nvidia/nemotron-colembed-vl-8b-v2,toshiba tec corp_2022_report,31,8B,"[30, 26, 14]",True,True,"[30, 26, 14, 33, 29, 27, 12, 35, 52, 54]","[37.22357940673828, 36.85144805908203, 36.64768981933594, 36.619300842285156, 36.52671813964844, 36.50670623779297, 36.39243698120117, 36.06467056274414, 36.02775955200195, 36.0218391418457]"
nvidia/nemotron-colembed-vl-8b-v2,uniper_2019_report,15,8B,"[15, 66, 65]",True,True,"[15, 66, 65, 64, 73, 14, 7, 41, 13, 10]","[37.33781433105469, 37.07294845581055, 36.946311950683594, 36.9300537109375, 36.60605239868164, 36.52875900268555, 36.50749206542969, 36.490234375, 36.47593688964844, 36.46437072753906]"
nvidia/nemotron-colembed-vl-8b-v2,uniper_2019_report,66,8B,"[15, 66, 65]",True,True,"[15, 66, 65, 64, 73, 14, 7, 41, 13, 10]","[37.33781433105469, 37.07294845581055, 36.946311950683594, 36.9300537109375, 36.60605239868164, 36.52875900268555, 36.50749206542969, 36.490234375, 36.47593688964844, 36.46437072753906]"
nvidia/nemotron-colembed-vl-8b-v2,uniper_2019_report,16,8B,"[15, 66, 65]",True,True,"[15, 66, 65, 64, 73, 14, 7, 41, 13, 10]","[37.33781433105469, 37.07294845581055, 36.946311950683594, 36.9300537109375, 36.60605239868164, 36.52875900268555, 36.50749206542969, 36.490234375, 36.47593688964844, 36.46437072753906]"
nvidia/nemotron-colembed-vl-8b-v2,uniper_2019_report,67,8B,"[15, 66, 65]",True,True,"[15, 66, 65, 64, 73, 14, 7, 41, 13, 10]","[37.33781433105469, 37.07294845581055, 36.946311950683594, 36.9300537109375, 36.60605239868164, 36.52875900268555, 36.50749206542969, 36.490234375, 36.47593688964844, 36.46437072753906]"
nvidia/nemotron-colembed-vl-8b-v2,varta ag_2021_report,39,8B,"[38, 26, 39]",True,True,"[38, 26, 39, 41, 23, 34, 27, 25, 28, 0]","[37.5821418762207, 37.24253845214844, 36.89231872558594, 36.82020568847656, 36.557701110839844, 36.35299301147461, 36.05009078979492, 36.011146545410156, 35.96441650390625, 35.83919906616211]"
nvidia/nemotron-colembed-vl-8b-v2,ViacomCBS_ESG Report_2020-2021_vFINAL,47,8B,"[46, 56, 47]",True,True,"[46, 56, 47, 55, 67, 48, 45, 50, 72, 49]","[37.670719146728516, 37.0508918762207, 36.923744201660156, 36.804203033447266, 36.76963806152344, 36.758636474609375, 36.59707260131836, 36.57316589355469, 36.55826950073242, 36.43445587158203]"
nvidia/nemotron-colembed-vl-8b-v2,webuild_2019_report,44,8B,"[43, 82, 78]",True,True,"[43, 82, 78, 77, 37, 4, 44, 39, 13, 14]","[37.448333740234375, 36.933807373046875, 36.90788269042969, 36.74696731567383, 36.6913948059082, 36.56431579589844, 36.39340591430664, 36.157981872558594, 36.055519104003906, 36.016204833984375]"
