"report_name","year","scope","value","unit","unit_normalized","page","metric_name","display_type"
"Allianz_2022_report.pdf",2022,"2mb",30490,"t CO2e","t CO2e","78","Scope 2 – Indirect GHG emissions (market based)/Scope 2 – Indirect GHG emissions (market based)","Table"
"Allianz_2022_report.pdf",2022,"2mb",30,"ktCO₂eq","kt CO2e","92","Allianz Group operational greenhouse gas emissions - Scope 2 - market based","Graphic"
"Allianz_2022_report.pdf",2019,"3",149,"ktCO₂eq","kt CO2e","92","Allianz Group operational greenhouse gas emissions - Scope 3","Graphic"
"Allianz_2022_report.pdf",2020,"3",73916,"t CO2e","t CO2e","78","Scope 3 – Other indirect GHG emissions","Table"
"Allianz_2022_report.pdf",2020,"3",74,"ktCO₂eq","kt CO2e","92","Allianz Group operational greenhouse gas emissions - Scope 3","Graphic"
"Allianz_2022_report.pdf",2021,"3",55359,"t CO2e","t CO2e","78","Scope 3 – Other indirect GHG emissions","Table"
"Allianz_2022_report.pdf",2021,"3",55,"ktCO₂eq","kt CO2e","92","Allianz Group operational greenhouse gas emissions - Scope 3","Graphic"
"Allianz_2022_report.pdf",2022,"3",92467,"t CO2e","t CO2e","78","Scope 3 – Other indirect GHG emissions","Table"
"Allianz_2022_report.pdf",2022,"3",92,"ktCO₂eq","kt CO2e","92","Allianz Group operational greenhouse gas emissions - Scope 3","Graphic"
"Daimler_2020_report.pdf",2016,"1",1056,"thousand tonnes","kt","63","CO2 direct (Scope 1)","Table"
"Daimler_2020_report.pdf",2017,"1",1192,"thousand tonnes","kt","63","CO2 direct (Scope 1)","Table"
"Daimler_2020_report.pdf",2018,"1",1247,"thousand tonnes","kt","63","CO2 direct (Scope 1)","Table"
"Daimler_2020_report.pdf",2019,"1",1239,"thousand tonnes","kt","63","CO2 direct (Scope 1)","Table"
"Daimler_2020_report.pdf",2020,"1",1027,"thousand tonnes","kt","63","CO2 direct (Scope 1)","Table"
"Daimler_2020_report.pdf",2016,"2lb",2141,"CO2 emissions from energy consumption (in 1,000 t)","CO2 emissions from energy consumption (in 1,000 t)","63","CO2 indirect (Scope 2) - location-based","Table"
"Daimler_2020_report.pdf",2017,"2lb",2041,"CO2 emissions from energy consumption (in 1,000 t)","CO2 emissions from energy consumption (in 1,000 t)","63","CO2 indirect (Scope 2) - location-based","Table"
"Daimler_2020_report.pdf",2018,"2lb",1985,"CO2 emissions from energy consumption (in 1,000 t)","CO2 emissions from energy consumption (in 1,000 t)","63","CO2 indirect (Scope 2) - location-based","Table"
"Daimler_2020_report.pdf",2019,"2lb",1706,"CO2 emissions from energy consumption (in 1,000 t)","CO2 emissions from energy consumption (in 1,000 t)","63","CO2 indirect (Scope 2) - location-based","Table"
"Daimler_2020_report.pdf",2020,"2lb",1492,"CO2 emissions from energy consumption (in 1,000 t)","CO2 emissions from energy consumption (in 1,000 t)","63","CO2 indirect (Scope 2) - location-based","Table"
"Daimler_2020_report.pdf",2016,"2mb",1882,"thousand tonnes","kt","63","CO2 indirect (Scope 2) - market-based","Table"
"Daimler_2020_report.pdf",2017,"2mb",1763,"thousand tonnes","kt","63","CO2 indirect (Scope 2) - market-based","Table"
"Daimler_2020_report.pdf",2018,"2mb",1687,"thousand tonnes","kt","63","CO2 indirect (Scope 2) - market-based","Table"
"Daimler_2020_report.pdf",2019,"2mb",1276,"thousand tonnes","kt","63","CO2 indirect (Scope 2) - market-based","Table"
"Daimler_2020_report.pdf",2020,"2mb",1035,"thousand tonnes","kt","63","CO2 indirect (Scope 2) - market-based","Table"
"Fresenius SE_2019_report.pdf",2018,"1",521,"t CO2 equivalents in thousands","kt CO2e","126","Scope 1","Table"
"Fresenius SE_2019_report.pdf",2019,"1",517,"t CO2 equivalents in thousands","kt CO2e","126","Scope 1","Table"
"Fresenius SE_2019_report.pdf",2018,"2lb",1013,"t CO2 equivalents in thousands","kt CO2e","126","Scope 2","Table"
"Fresenius SE_2019_report.pdf",2019,"2lb",992,"t CO2 equivalents in thousands","kt CO2e","126","Scope 2","Table"
"acuity brands inc_2022_report.pdf",2022,"1",34327,"MtCO2e","Mt CO2e","101","FY 2022 Scope 1 Emissions","Text/Table"
"acuity brands inc_2022_report.pdf",2022,"1",34327,"MT CO2e","MT CO2e","99","Total Scope 1","Table"
"acuity brands inc_2022_report.pdf",2022,"2lb",46637,"MtCO2e","Mt CO2e","101","FY 2022 Scope 2 Emissions (Location based)","Table/Text"
"acuity brands inc_2022_report.pdf",2022,"2mb",42234,"MtCO2e","Mt CO2e","101","FY 2022 Scope 2 Emissions (Market based)","Table"
"acuity brands inc_2022_report.pdf",2022,"2mb",42234,"MT CO2e","MT CO2e","99","Total Scope 2 market-based/Total Scope 2","Table"
"acuity brands inc_2022_report.pdf",2022,"3",35119419,"MT CO2e","MT CO2e","99","Total Scope 3","Table"
"addtech_2022_report.pdf",2019,"1",2071,"tonnes CO2e","t CO2e","73","SCOPE 1/Emissions of greenhouse gases - Scope 1","Table"
"addtech_2022_report.pdf",2020,"1",1910,"tonnes CO2e","t CO2e","73","SCOPE 1/Emissions of greenhouse gases - Scope 1","Table"
"addtech_2022_report.pdf",2021,"1",2041,"tonnes CO2e","t CO2e","73","SCOPE 1/Emissions of greenhouse gases - Scope 1","Table"
"addtech_2022_report.pdf",2019,"2lb",3979,"tonnes CO2e","t CO2e","73","Emissions, energy consumption – Location Based Method /Emissions, energy consumption – Location Based Method (tonnes CO 2 e)","Table"
"addtech_2022_report.pdf",2020,"2lb",3395,"tonnes CO2e","t CO2e","73","Emissions, energy consumption – Location Based Method /Emissions, energy consumption – Location Based Method (tonnes CO 2 e)","Table"
"addtech_2022_report.pdf",2021,"2lb",3709,"tonnes CO2e","t CO2e","73","Emissions, energy consumption – Location Based Method /Emissions, energy consumption – Location Based Method (tonnes CO 2 e)","Table"
"addtech_2022_report.pdf",2020,"2mb",4250,"tonnes CO2e","t CO2e","73","Emissions, energy consumption – Market Based Method (tonnes CO 2 e)","Table"
"addtech_2022_report.pdf",2021,"2mb",4087,"tonnes CO2e","t CO2e","73","Emissions, energy consumption – Market Based Method (tonnes CO 2 e)","Table"
"addtech_2022_report.pdf",2019,"3",23132,"tonnes CO2e","t CO2e","73","SCOPE 3/Emissions of greenhouse gases - Scope 3","Table"
"addtech_2022_report.pdf",2020,"3",19860,"tonnes CO2e","t CO2e","73","SCOPE 4/Emissions of greenhouse gases - Scope 3","Table"
"addtech_2022_report.pdf",2021,"3",22961,"tonnes CO2e","t CO2e","73","SCOPE 5/Emissions of greenhouse gases - Scope 3","Table"
"aixtron_2020_report.pdf",2019,"1",170.8,"tonnes of CO2 equivalents","t CO2e","50","Scope 1 emissions","Text"
"aixtron_2020_report.pdf",2020,"1",322.84,"metric tons of CO2 equivalents","t CO2e","49","Scope 1 – Direct","Illustration"
"aixtron_2020_report.pdf",2020,"1",322.84,"tonnes of CO2 equivalents","t CO2e","50","Scope 1 emissions","Text"
"aixtron_2020_report.pdf",2019,"2lb",406.6,"tonnes of CO2 equivalents","t CO2e","50","Scope 2 emissions","Text"
"aixtron_2020_report.pdf",2020,"2lb",398.14,"metric tons of CO2 equivalents","t CO2e","49","Scope 2 – Indirect","Illustration"
"aixtron_2020_report.pdf",2020,"2lb",398.14,"tonnes of CO2 equivalents","t CO2e","50","Scope 2 emissions","Text"
"aixtron_2020_report.pdf",2019,"3",3637.97,"tonnes of CO2 equivalents","t CO2e","50","Scope 3 emissions","Text"
"aixtron_2020_report.pdf",2020,"3",1310.1,"metric tons of CO2 equivalents","t CO2e","49","Scope 3 – Indirect","Illustration"
"aixtron_2020_report.pdf",2020,"3",1310.1,"tonnes of CO2 equivalents","t CO2e","50","Scope 3 emissions","Text"
"allfunds group_2021_report.pdf",2019,"1",68.51,"tCO2e","t CO2e","142","Scope 1 CO 2 emissions","Table"
"allfunds group_2021_report.pdf",2020,"1",0,"tCO2e","t CO2e","142","Scope 1 CO 2 emissions","Table"
"allfunds group_2021_report.pdf",2021,"1",7.31,"t CO2eq","t CO2e","125","Scope 1 /Scope 1","Table"
"allfunds group_2021_report.pdf",2021,"1",7.31,"tCO2e","t CO2e","142","Scope 1 CO 2 emissions","Table"
"allfunds group_2021_report.pdf",2019,"2lb",436.43,"tCO2e","t CO2e","142","Scope 2 CO 2 emissions","Table"
"allfunds group_2021_report.pdf",2020,"2lb",91.69,"tCO2e","t CO2e","142","Scope 2 CO 2 emissions","Table"
"allfunds group_2021_report.pdf",2021,"2lb",30.39,"t CO2eq","t CO2e","125","Scope 2","Table"
"allfunds group_2021_report.pdf",2021,"2lb",30.39,"tCO2e","t CO2e","142","Scope 2 CO 2 emissions","Table"
"americold realty inc_2022_report.pdf",2021,"1",72314,"MTCO2e","MT CO2e","53","Scope 1 Emissions/Scope 1 Emissions","Table"
"americold realty inc_2022_report.pdf",2022,"1",102340,"MTCO2e","MT CO2e","53","Scope 1 Emissions/Scope 1 Emissions","Table"
"americold realty inc_2022_report.pdf",2021,"2mb",556660,"MTCO2e","MT CO2e","53","Market-Based Scope 2 Emissions/Market-Based Scope 2 Emissions","Table"
"americold realty inc_2022_report.pdf",2022,"2mb",554491,"MTCO2e","MT CO2e","53","Market-Based Scope 2 Emissions/Market-Based Scope 2 Emissions","Table"
"americold realty inc_2022_report.pdf",2021,"3",1067697,"MTCO2e","MT CO2e","53","Scope 3 Emissions/Scope 3 Emissions","Table"
"americold realty inc_2022_report.pdf",2022,"3",611634,"MTCO2e","MT CO2e","53","Scope 3 Emissions/Scope 3 Emissions","Table"
"apollo commercial real estate fina_2019_report.pdf",2019,"1",170,"MT CO2e","MT CO2e","5","Scope 1 GHG Emissions/Scope 1 GHG Emissions","Table"
"apollo commercial real estate fina_2019_report.pdf",2019,"2lb",2616,"MT CO2e","MT CO2e","5","Scope 2 GHG Emissions/Scope 2 GHG Emissions","Table"
"apollo commercial real estate fina_2019_report.pdf",2019,"3",2333,"MT CO2e","MT CO2e","5","Scope 3 GHG Emissions/Scope 3 GHG Emissions","Table"
"atlas arteria_2019_report.pdf",2016,"1",6182,"tonnes CO2e","t CO2e","9","Scope 1","Table"
"atlas arteria_2019_report.pdf",2017,"1",6541,"tonnes CO2e","t CO2e","9","Scope 1","Table"
"atlas arteria_2019_report.pdf",2018,"1",5942,"tonnes CO2e","t CO2e","9","Scope 1","Table"
"atlas arteria_2019_report.pdf",2019,"1",6027,"tonnes CO2e","t CO2e","9","Scope 1","Table"
"atlas arteria_2019_report.pdf",2016,"2lb",1291,"tonnes CO2e","t CO2e","9","Scope 2","Table"
"atlas arteria_2019_report.pdf",2017,"2lb",1244,"tonnes CO2e","t CO2e","9","Scope 2","Table"
"atlas arteria_2019_report.pdf",2018,"2lb",957,"tonnes CO2e","t CO2e","9","Scope 2","Table"
"atlas arteria_2019_report.pdf",2019,"2lb",773,"tonnes CO2e","t CO2e","9","Scope 2","Table"
"autoneum holding_2019_report.pdf",2017,"1",81077,"metric tons CO2 equivalents","t CO2e","27","Scope 1/CO2 Emissions Scope 1","Table"
"autoneum holding_2019_report.pdf",2018,"1",109577,"metric tons CO2 equivalents","t CO2e","27","Scope 3/CO2 Emissions Scope 1","Table"
"autoneum holding_2019_report.pdf",2019,"1",116274,"metric tons CO2 equivalents","t CO2e","27","Scope 5/CO2 Emissions Scope 1","Table"
"autoneum holding_2019_report.pdf",2017,"2lb",235014,"metric tons CO2 equivalents","t CO2e","27","Scope 2/CO2 Emissions Scope 2","Table"
"autoneum holding_2019_report.pdf",2018,"2lb",256550,"metric tons CO2 equivalents","t CO2e","27","Scope 2/CO2 Emissions Scope 3","Table"
"autoneum holding_2019_report.pdf",2019,"2lb",264287,"metric tons CO2 equivalents","t CO2e","27","Scope 2/CO2 Emissions Scope 4","Table"
"balanced commercial property trust_2020_report.pdf",2019,"1",772607,"kg CO₂e","kg CO2e","34","Emissions from Scope 1 usage","Table"
"balanced commercial property trust_2020_report.pdf",2020,"1",694329,"kg CO₂e","kg CO2e","34","Emissions from Scope 1 usage","Table"
"balanced commercial property trust_2020_report.pdf",2019,"2lb",1361302,"kg CO2e","kg CO2e","34","Emissions from Scope 2 usage","Table"
"balanced commercial property trust_2020_report.pdf",2020,"2lb",1086109,"kg CO₂e","kg CO2e","34","Emissions from Scope 2 usage","Table"
"bekaert (d) sa_2022_report.pdf",2022,"1",316951,"ton CO2","ton CO2","272","Scope 1 GHG emissions [natural gas, LPG and fuel ]","Other"
"bekaert (d) sa_2022_report.pdf",2019,"3",6045636,"ton CO2e","ton CO2e","276","Total Scope 3 emissions/Total Scope 3 emission","Table"
"bekaert (d) sa_2022_report.pdf",2021,"3",6736962,"ton CO2e","ton CO2e","276","Total Scope 3 emissions/Total Scope 3 emission","Table"
"bekaert (d) sa_2022_report.pdf",2022,"3",6187086,"ton CO2e","ton CO2e","276","Total Scope 3 emissions/Total Scope 3 emission","Table"
"blackberry ltd_2022_report.pdf",2016,"1",6748,"metric tons CO2e","t CO2e","21","TOTAL SCOPE 1","Table"
"blackberry ltd_2022_report.pdf",2017,"1",5091,"metric tons CO2e","t CO2e","21","TOTAL SCOPE 1","Table"
"blackberry ltd_2022_report.pdf",2018,"1",4158,"metric tons CO2e","t CO2e","21","TOTAL SCOPE 1","Table"
"blackberry ltd_2022_report.pdf",2019,"1",3658,"metric tons CO2e","t CO2e","21","TOTAL SCOPE 1","Table"
"blackberry ltd_2022_report.pdf",2020,"1",2476,"metric tons CO2e","t CO2e","21","TOTAL SCOPE 1","Table"
"blackberry ltd_2022_report.pdf",2016,"2lb",23301,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 2 EMISSIONS (Location-based)","Table"
"blackberry ltd_2022_report.pdf",2017,"2lb",13371,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 2 EMISSIONS (Location-based)","Table"
"blackberry ltd_2022_report.pdf",2018,"2lb",3708,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 2 EMISSIONS (Location-based)","Table"
"blackberry ltd_2022_report.pdf",2019,"2lb",3906,"metric tons of carbon dioxide equivalents (CO2e)","t CO2e","22","TOTAL SCOPE 2 EMISSIONS (Location-based)","Table"
"blackberry ltd_2022_report.pdf",2020,"2lb",3293,"metric tons of carbon dioxide equivalents (CO2e)","t CO2e","22","TOTAL SCOPE 2 EMISSIONS (Location-based)","Table"
"blackberry ltd_2022_report.pdf",2016,"2mb",24525,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 2 EMISSIONS (Market-based, where available)","Table"
"blackberry ltd_2022_report.pdf",2017,"2mb",13406,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 2 EMISSIONS (Market-based, where available)","Table"
"blackberry ltd_2022_report.pdf",2018,"2mb",4145,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 2 EMISSIONS (Market-based, where available)","Table"
"blackberry ltd_2022_report.pdf",2019,"2mb",4246,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 2 EMISSIONS (Market-based, where available)","Table"
"blackberry ltd_2022_report.pdf",2020,"2mb",3611,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 2 EMISSIONS (Market-based, where available)","Table"
"blackberry ltd_2022_report.pdf",2016,"3",7065,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 3 EMISSIONS","Table"
"blackberry ltd_2022_report.pdf",2017,"3",5191,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 3 EMISSIONS","Table"
"blackberry ltd_2022_report.pdf",2018,"3",5306,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 3 EMISSIONS","Table"
"blackberry ltd_2022_report.pdf",2019,"3",5772,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 3 EMISSIONS","Table"
"blackberry ltd_2022_report.pdf",2020,"3",1602,"metric tons CO2e","t CO2e","22","TOTAL SCOPE 3 EMISSIONS","Table"
"blackline safety_2021_report.pdf",2020,"1",165.6,"MT CO2e","MT CO2e","19","Scope 1 - MT CO2e","Table"
"blackline safety_2021_report.pdf",2021,"1",215,"MT CO2e","MT CO2e","19","Scope 1 - MT CO2e","Table"
"blackline safety_2021_report.pdf",2020,"2lb",227.4,"MT CO2e","MT CO2e","19","Scope 2 - MT CO2e","Table"
"blackline safety_2021_report.pdf",2021,"2lb",576,"MT CO2e","MT CO2e","19","Scope 2 - MT CO2e","Table"
"blackline safety_2021_report.pdf",2020,"3",1661.2,"MT CO2e","MT CO2e","19","Scope 3 - MT CO2e","Table"
"blackline safety_2021_report.pdf",2021,"3",1606.2,"MT CO2e","MT CO2e","19","Scope 3 - MT CO2e","Table"
"cabot corp_2018_report.pdf",2016,"1",4.5,"MM MT CO2e","MM MT CO2e","22","SCOPE 1 MM MT CO2e/GHG EMISSIONS SCOPE 1","Table"
"cabot corp_2018_report.pdf",2017,"1",4.58,"MM MT CO2e","MM MT CO2e","22","SCOPE 1 MM MT CO2e/GHG EMISSIONS SCOPE 1","Table"
"cabot corp_2018_report.pdf",2018,"1",4.77,"MM MT CO2e","MM MT CO2e","22","SCOPE 1 MM MT CO2e/GHG EMISSIONS SCOPE 1","Table"
"cabot corp_2018_report.pdf",2016,"2lb",0.34,"MM MT CO2e","MM MT CO2e","22","SCOPE 2 MM MT CO2e/GHG EMISSIONS SCOPE 2","Table"
"cabot corp_2018_report.pdf",2017,"2lb",0.33,"MM MT CO2e","MM MT CO2e","22","SCOPE 2 MM MT CO2e/GHG EMISSIONS SCOPE 2","Table"
"cabot corp_2018_report.pdf",2018,"2lb",0.32,"MM MT CO2e","MM MT CO2e","22","SCOPE 2 MM MT CO2e/GHG EMISSIONS SCOPE 2","Table"
"cardinal energy ltd_2021_report.pdf",2019,"1",188,"10^3 tonnes CO2e","kt CO2e","19","Direct GHG emissions","Table"
"cardinal energy ltd_2021_report.pdf",2020,"1",160,"10^3 tonnes CO2e","kt CO2e","19","Direct GHG emissions","Table"
"cardinal energy ltd_2021_report.pdf",2021,"1",231,"10^3 tonnes CO2e","kt CO2e","19","Direct GHG emissions","Table"
"cardinal energy ltd_2021_report.pdf",2019,"2lb",277,"10^3 tonnes CO2e","kt CO2e","19","Indirect GHG emissions /Indirect GHG emissions","Table"
"cardinal energy ltd_2021_report.pdf",2020,"2lb",259,"10^3 tonnes CO2e","kt CO2e","19","Indirect GHG emissions /Indirect GHG emissions","Table"
"cardinal energy ltd_2021_report.pdf",2021,"2lb",228,"10^3 tonnes CO2e","kt CO2e","19","Indirect GHG emissions /Indirect GHG emissions","Table"
"centurylink_2019_report.pdf",2018,"1",286,"Thousands Metric tons CO2e","kt CO2e","11","GHG Scope 1","Table"
"centurylink_2019_report.pdf",2018,"2mb",1911,"Thousands Metric tons CO2e","kt CO2e","11","GHG Scope 2 market based","Table"
"centurylink_2019_report.pdf",2018,"3",2179,"Thousands Metric tons CO2e","kt CO2e","11","GHG Scope 3 emissions","Table"
"jpmorgan chase_2020_report.pdf",2017,"1",78229,"MtCO2e","Mt CO2e","32","Scope 1 - direct/Scope 1 — direct","Table"
"jpmorgan chase_2020_report.pdf",2018,"1",83101,"MtCO2e","Mt CO2e","32","Scope 1 - direct/Scope 1 — direct","Table"
"jpmorgan chase_2020_report.pdf",2019,"1",81655,"MtCO2e","Mt CO2e","32","Scope 1 - direct/Scope 1 — direct","Table"
"jpmorgan chase_2020_report.pdf",2020,"1",69570,"MtCO2e","Mt CO2e","29","Scope 1 - direct/Scope 1 Direct emissions from owned or controlled sources","Table/Illustration"
"jpmorgan chase_2020_report.pdf",2020,"1",69570,"MtCO2e","Mt CO2e","32","Scope 1 - direct/Scope 1 — direct","Table"
"jpmorgan chase_2020_report.pdf",2017,"2lb",770704,"MtCO2e","Mt CO2e","32","Scope 2 location - indirect/Scope 2 (location) — indirect","Table"
"jpmorgan chase_2020_report.pdf",2018,"2lb",739458,"MtCO2e","Mt CO2e","32","Scope 2 location - indirect/Scope 2 (location) — indirect","Table"
"jpmorgan chase_2020_report.pdf",2019,"2lb",692299,"MtCO2e","Mt CO2e","32","Scope 2 location - indirect/Scope 2 (location) — indirect","Table"
"jpmorgan chase_2020_report.pdf",2020,"2lb",660601,"MtCO2e","Mt CO2e","32","Scope 2 location - indirect/Scope 2 (location) — indirect","Table"
"jpmorgan chase_2020_report.pdf",2017,"2mb",596843,"MtCO2e","Mt CO2e","32","Scope 2 market - indirect/Scope 2 (market) — indirect","Table"
"jpmorgan chase_2020_report.pdf",2018,"2mb",572067,"MtCO2e","Mt CO2e","32","Scope 2 market - indirect/Scope 2 (market) — indirect","Table"
"jpmorgan chase_2020_report.pdf",2019,"2mb",556142,"MtCO2e","Mt CO2e","32","Scope 2 market - indirect/Scope 2 (market) — indirect","Table"
"jpmorgan chase_2020_report.pdf",2020,"2mb",4187,"MtCO2e","Mt CO2e","32","Scope 2 market - indirect/Scope 2 (market) — indirect","Table"
"jpmorgan chase_2020_report.pdf",2017,"3",187020,"MtCO2e","Mt CO2e","32","Scope 3/Scope 3 (category 6 — business travel)","Table"
"jpmorgan chase_2020_report.pdf",2018,"3",176356,"MtCO2e","Mt CO2e","32","Scope 3/Scope 3 (category 6 — business travel)","Table"
"jpmorgan chase_2020_report.pdf",2019,"3",181004,"MtCO2e","Mt CO2e","32","Scope 3/Scope 3 (category 6 — business travel)","Table"
"jpmorgan chase_2020_report.pdf",2020,"3",36169,"MtCO2e","Mt CO2e","29","Scope 3/Scope 3 Other indirect emissions sources","Table/Illustration"
"jpmorgan chase_2020_report.pdf",2020,"3",36169,"MtCO2e","Mt CO2e","32","Scope 3/Scope 3 (category 6 — business travel)","Table"
"ctbc holding_2020_report.pdf",2016,"1",1975,"Metric tons of CO2e","t CO2e","61","Scope 1","Graphic"
"ctbc holding_2020_report.pdf",2017,"1",2864,"Metric tons of CO2e","t CO2e","61","Scope 1","Graphic"
"ctbc holding_2020_report.pdf",2018,"1",4820,"Metric tons of CO2e","t CO2e","61","Scope 1","Graphic"
"ctbc holding_2020_report.pdf",2019,"1",5963,"Metric tons of CO2e","t CO2e","61","Scope 1","Graphic"
"ctbc holding_2020_report.pdf",2020,"1",3596,"Metric tons of CO2e","t CO2e","61","Scope 1","Graphic"
"ctbc holding_2020_report.pdf",2016,"2lb",30660,"Metric tons of CO2e","t CO2e","61","Scope 2","Graphic"
"ctbc holding_2020_report.pdf",2017,"2lb",40517,"Metric tons of CO2e","t CO2e","61","Scope 2","Graphic"
"ctbc holding_2020_report.pdf",2018,"2lb",42052,"Metric tons of CO2e","t CO2e","61","Scope 2","Graphic"
"ctbc holding_2020_report.pdf",2019,"2lb",52918,"Metric tons of CO2e","t CO2e","61","Scope 2","Graphic"
"ctbc holding_2020_report.pdf",2020,"2lb",38310,"Metric tons of CO2e","t CO2e","61","Scope 2","Graphic"
"ctbc holding_2020_report.pdf",2016,"3",1605,"Metric tons of CO2e","t CO2e","61","Scope 2/Scope 3","Graphic"
"ctbc holding_2020_report.pdf",2017,"3",1416,"Metric tons of CO2e","t CO2e","61","Scope 2/Scope 3","Graphic"
"ctbc holding_2020_report.pdf",2018,"3",1506,"Metric tons of CO2e","t CO2e","61","Scope 2/Scope 3","Graphic"
"ctbc holding_2020_report.pdf",2019,"3",1518,"Metric tons of CO2e","t CO2e","61","Scope 2/Scope 3","Graphic"
"ctbc holding_2020_report.pdf",2020,"3",167,"Metric tons of CO2e","t CO2e","61","Scope 2/Scope 3","Graphic"
"comerica inc_2019_report.pdf",2012,"1",6950,"metric tons of CO2e","t CO2e","44","Scope 1 GHG emissions- natural gas, jet fuel, diesel, gasoline, and refrigerants","Table"
"comerica inc_2019_report.pdf",2018,"1",6371,"metric tons of CO2e","t CO2e","44","Scope 1 GHG emissions- natural gas, jet fuel, diesel, gasoline, and refrigerants/Scope 1 ghg emissions","Table"
"comerica inc_2019_report.pdf",2019,"1",6304,"metric tons of CO2e","t CO2e","44","Scope 1 GHG emissions- natural gas, jet fuel, diesel, gasoline, and refrigerants/Scope 1 ghg emissions","Table"
"comerica inc_2019_report.pdf",2012,"2lb",74784,"metric tons of CO2e","t CO2e","44","Scope 2 GHG emissions- electricity, steam, and chilled water in company-controlled buildings","Table"
"comerica inc_2019_report.pdf",2018,"2lb",39916,"metric tons of CO2e","t CO2e","44","Scope 2 GHG emissions- electricity, steam, and chilled water in company-controlled buildings/Scope 2 ghg emissions","Table"
"comerica inc_2019_report.pdf",2019,"2lb",36316,"metric tons of CO2e","t CO2e","44","Scope 2 GHG emissions- electricity, steam, and chilled water in company-controlled buildings/Scope 2 ghg emissions","Table"
"cubesmart reit_2021_report.pdf",2019,"1",7398,"MTCO2e","MT CO2e","19","Carbon Emissions - Scope 1","Table"
"cubesmart reit_2021_report.pdf",2020,"1",5835,"MTCO2e","MT CO2e","19","Carbon Emissions - Scope 1","Table"
"cubesmart reit_2021_report.pdf",2021,"1",6436,"MTCO2e","MT CO2e","19","Carbon Emissions - Scope 1","Table"
"cubesmart reit_2021_report.pdf",2019,"2lb",27984,"MTCO2e","MT CO2e","19","Carbon Emissions - Scope 2","Table"
"cubesmart reit_2021_report.pdf",2020,"2lb",25276,"MTCO2e","MT CO2e","19","Carbon Emissions - Scope 2","Table"
"cubesmart reit_2021_report.pdf",2021,"2lb",23918,"MTCO2e","MT CO2e","19","Carbon Emissions - Scope 2","Table"
"cytokinetics inc_2022_report.pdf",2022,"1",0.67,"metric kilotons CO2e","kt CO2e","22","Scope 1 - fuels, natural gas, refrigerants/Scope 1 (fuels, natural gas, refrigerants)","Table"
"cytokinetics inc_2022_report.pdf",2022,"2lb",0.83,"metric kilotons CO2e","kt CO2e","22","Scope 2 - electricity use/Scope 2 (electricity use)","Table"
