report_name,status,scopes_present,years_present,year,scope,page,value,unit,unit_normalized,label,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,unit_0,unit_1,unit_2,unit_3,unit_4,unit_5,unit_6,unit_7,unit_8,unit_9,unit_10,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2021,1,73,2041.0,tonnes CO2e,t CO2e,SCOPE 1/Emissions of greenhouse gases - Scope 1,"[1910, 554]","[1910, 554]",[1910],"[1910, 554]",[1910.0],[1910.0],"[1910, 554]",[1910],[1910],[1910.0],[1910],"['tonnes CO2e', 'tonnes CO2e']","['tonnes CO2e', 'tonnes CO2e']",['tonnes CO₂e'],"['tonnes CO2e', 'tonnes CO2e']",['tonnes CO2e'],['tonnes CO2e'],"['tonnes CO2e', 'tonnes CO2e']",['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],"['Emissions from own vehicle fleet', 'Emissions combustion fuels']","['Emissions from own vehicle fleet', 'Emissions combustion fuels']",['Total emissions (tonnes CO₂e)'],"['Emissions from own vehicle fleet', 'Emissions combustion fuels']",[nan],[nan],"['Emissions from own vehicle fleet', 'Emissions combustion fuels']",['SCOPE 1 (tonnes CO2e)'],['SCOPE 1 (tonnes CO2e)'],['SCOPE 1 (tonnes CO2e)'],['SCOPE 1 (tonnes CO₂e)']
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2022,1,,,,,,"[2041, 541]","[2041, 541]",[2041],"[2041, 541]",[2041.0],[2041.0],"[2041, 541]",[2041],[2041],[2041.0],[2041],"['tonnes CO2e', 'tonnes CO2e']","['tonnes CO2e', 'tonnes CO2e']",['tonnes CO₂e'],"['tonnes CO2e', 'tonnes CO2e']",['tonnes CO2e'],['tonnes CO2e'],"['tonnes CO2e', 'tonnes CO2e']",['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],"['Emissions from own vehicle fleet', 'Emissions combustion fuels']","['Emissions from own vehicle fleet', 'Emissions combustion fuels']",['Total emissions (tonnes CO₂e)'],"['Emissions from own vehicle fleet', 'Emissions combustion fuels']",[nan],[nan],"['Emissions from own vehicle fleet', 'Emissions combustion fuels']",['SCOPE 1 (tonnes CO2e)'],['SCOPE 1 (tonnes CO2e)'],['SCOPE 1 (tonnes CO2e)'],['SCOPE 1 (tonnes CO₂e)']
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2013,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2014,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2015,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2016,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2017,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2018,2lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2019,2lb,73,3979.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Location Based Method /Emissions, energy consumption – Location Based Method (tonnes CO 2 e)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2020,2lb,73,3395.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Location Based Method /Emissions, energy consumption – Location Based Method (tonnes CO 2 e)",[3979],[3979],[3979],[3979],[3979.0],[3979.0],[3979],[3979],[3979],[3979.0],[3979],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],"['Emissions, energy consumption – Location Based Method']","['Emissions, energy consumption – Location Based Method']","['Emissions, energy consumption – Location Based Method (tonnes CO₂e)']","['Emissions, energy consumption – Location Based Method']",[nan],[nan],"['Emissions, energy consumption – Location Based Method']","['Emissions, energy consumption – Location Based Method (tonnes CO2e)']","['Emissions, energy consumption – Location Based Method (tonnes CO2e)']","['Emissions, energy consumption – Location Based Method (tonnes CO2e)']","['Emissions, energy consumption – Location Based Method (tonnes CO₂e)']"
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2021,2lb,73,3709.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Location Based Method /Emissions, energy consumption – Location Based Method (tonnes CO 2 e)",[3395],[3395],[3395],[3395],[3395.0],[3395.0],[3395],[3395],[3395],[3395.0],[3395],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],"['Emissions, energy consumption – Location Based Method']","['Emissions, energy consumption – Location Based Method']","['Emissions, energy consumption – Location Based Method (tonnes CO₂e)']","['Emissions, energy consumption – Location Based Method']",[nan],[nan],"['Emissions, energy consumption – Location Based Method']","['Emissions, energy consumption – Location Based Method (tonnes CO2e)']","['Emissions, energy consumption – Location Based Method (tonnes CO2e)']","['Emissions, energy consumption – Location Based Method (tonnes CO2e)']","['Emissions, energy consumption – Location Based Method (tonnes CO₂e)']"
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2022,2lb,,,,,,[3709],[3709],[3709],[3709],[3709.0],[3709.0],[3709],[3709],[3709],[3709.0],[3709],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],"['Emissions, energy consumption – Location Based Method']","['Emissions, energy consumption – Location Based Method']","['Emissions, energy consumption – Location Based Method (tonnes CO₂e)']","['Emissions, energy consumption – Location Based Method']",[nan],[nan],"['Emissions, energy consumption – Location Based Method']","['Emissions, energy consumption – Location Based Method (tonnes CO2e)']","['Emissions, energy consumption – Location Based Method (tonnes CO2e)']","['Emissions, energy consumption – Location Based Method (tonnes CO2e)']","['Emissions, energy consumption – Location Based Method (tonnes CO₂e)']"
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2013,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2014,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2015,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2016,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2017,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2018,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2019,2mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2020,2mb,73,4250.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Market Based Method (tonnes CO 2 e)",,,[0],,[0.0],[0.0],,,,[nan],,,,['tonnes CO₂e'],,['tonnes CO2e'],['tonnes CO2e'],,,,['tonnes CO2e'],,,,"['Emissions, energy consumption – Market Based Method (tonnes CO₂e)']",,[nan],[nan],,,,"['Emissions, energy consumption – Market Based Method (tonnes CO2e)']",
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2021,2mb,73,4087.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Market Based Method (tonnes CO 2 e)",[4250],[4250],[4250],[4250],[4250.0],[4250.0],[4250],[4250],[4250],[4250.0],[4250],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],"['Emissions, energy consumption – Market Based Method']","['Emissions, energy consumption – Market Based Method']","['Emissions, energy consumption – Market Based Method (tonnes CO₂e)']","['Emissions, energy consumption – Market Based Method']",[nan],[nan],"['Emissions, energy consumption – Market Based Method']","['Emissions, energy consumption – Market Based Method (tonnes CO2e)']","['Emissions, energy consumption – Market Based Method (tonnes CO2e)']","['Emissions, energy consumption – Market Based Method (tonnes CO2e)']","['Emissions, energy consumption – Market Based Method (tonnes CO₂e)']"
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2022,2mb,,,,,,[4087],[4087],[4087],[4087],[4087.0],[4087.0],[4087],[4087],[4087],[4087.0],[4087],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],"['Emissions, energy consumption – Market Based Method']","['Emissions, energy consumption – Market Based Method']","['Emissions, energy consumption – Market Based Method (tonnes CO₂e)']","['Emissions, energy consumption – Market Based Method']",[nan],[nan],"['Emissions, energy consumption – Market Based Method']","['Emissions, energy consumption – Market Based Method (tonnes CO2e)']","['Emissions, energy consumption – Market Based Method (tonnes CO2e)']","['Emissions, energy consumption – Market Based Method (tonnes CO2e)']","['Emissions, energy consumption – Market Based Method (tonnes CO₂e)']"
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2013,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2014,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2015,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2016,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2017,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2018,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2019,3,73,23132.0,tonnes CO2e,t CO2e,SCOPE 3/Emissions of greenhouse gases - Scope 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2020,3,73,19860.0,tonnes CO2e,t CO2e,SCOPE 4/Emissions of greenhouse gases - Scope 3,"[23132, 18362, 4770]","[23132, 18362, 4770]",[23132],"[23132, 18362, 4770]",[23132.0],[23132.0],"[23132, 18362, 4770]",[23132],[23132],[23132.0],[23132],"['tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e']","['tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e']",['tonnes CO₂e'],"['tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e']",['tonnes CO2e'],['tonnes CO2e'],"['tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e']",['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],"['Emissions freight, upstream & downstream', 'Emissions freight, upstream', 'Business travel emissions, air and train']","['Emissions freight, upstream & downstream', 'Emissions freight, upstream', 'Business travel emissions, air and train']",['Total emissions (tonnes CO₂e)'],"['Emissions freight, upstream & downstream', 'Emissions freight, upstream', 'Business travel emissions, air and train']",[nan],[nan],"['Emissions freight, upstream & downstream', 'Emissions freight, upstream', 'Business travel emissions, air and train']",['SCOPE 3 (tonnes CO2e)'],['SCOPE 3 (tonnes CO2e)'],['SCOPE 3 (tonnes CO2e)'],['SCOPE 3 (tonnes CO₂e)']
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2021,3,73,22961.0,tonnes CO2e,t CO2e,SCOPE 5/Emissions of greenhouse gases - Scope 3,"[19860, 18733, 1021, 106]","[19860, 18733, 1021, 106]",[19860],"[19860, 18733, 1021, 106]",[19860.0],[19860.0],"[19860, 18733, 1021, 106]",[19860],[19860],[19860.0],[19860],"['tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e']","['tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e']",['tonnes CO₂e'],"['tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e']",['tonnes CO2e'],['tonnes CO2e'],"['tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e']",['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],"['Emissions freight, upstream & downstream', 'Emissions freight, upstream', 'Business travel emissions, air and train', 'Emissions, extraction, production and transport of purchased fuels']","['Emissions freight, upstream & downstream', 'Emissions freight, upstream', 'Business travel emissions, air and train', 'Emissions, extraction, production and transport of purchased fuels']",['Total emissions (tonnes CO₂e)'],"['Emissions freight, upstream & downstream', 'Emissions freight, upstream', 'Business travel emissions, air and train', 'Emissions, extraction, production and transport of purchased fuels']",[nan],[nan],"['Emissions freight, upstream & downstream', 'Emissions freight, upstream', 'Business travel emissions, air and train', 'Emissions, extraction, production and transport of purchased fuels']",['SCOPE 3 (tonnes CO2e)'],['SCOPE 3 (tonnes CO2e)'],['SCOPE 3 (tonnes CO2e)'],['SCOPE 3 (tonnes CO₂e)']
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2022,3,,,,,,"[22961, 21782, 1097, 82]","[22961, 21782, 1097, 82]",[22961],"[22961, 21782, 1097, 82]",[22961.0],[22961.0],"[22961, 21782, 1097, 82]",[22961],[22961],[22961.0],[22961],"['tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e']","['tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e']",['tonnes CO₂e'],"['tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e']",['tonnes CO2e'],['tonnes CO2e'],"['tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e', 'tonnes CO2e']",['tonnes CO2e'],['tonnes CO2e'],['tonnes CO2e'],['tonnes CO₂e'],"['Emissions freight, upstream & downstream', 'Emissions freight, upstream', 'Business travel emissions, air and train', 'Emissions, extraction, production and transport of purchased fuels']","['Emissions freight, upstream & downstream', 'Emissions freight, upstream', 'Business travel emissions, air and train', 'Emissions, extraction, production and transport of purchased fuels']",['Total emissions (tonnes CO₂e)'],"['Emissions freight, upstream & downstream', 'Emissions freight, upstream', 'Business travel emissions, air and train', 'Emissions, extraction, production and transport of purchased fuels']",[nan],[nan],"['Emissions freight, upstream & downstream', 'Emissions freight, upstream', 'Business travel emissions, air and train', 'Emissions, extraction, production and transport of purchased fuels']",['SCOPE 3 (tonnes CO2e)'],['SCOPE 3 (tonnes CO2e)'],['SCOPE 3 (tonnes CO2e)'],['SCOPE 3 (tonnes CO₂e)']
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2019,1,50,170.8,tonnes of CO2 equivalents,t CO2e,Scope 1 emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2020,1,49,322.84,metric tons of CO2 equivalents,t CO2e,Scope 1 – Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
