report_name,status,scopes_present,years_present,year,scope,page,value,unit,unit_normalized,label,value_t1,value_t2,value_m1,value_m2,value_i1,value_i2,unit_t1,unit_t2,unit_m1,unit_m2,unit_i1,unit_i2,label_t1,label_t2,label_m1,label_m2,label_i1,label_i2
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2017,2lb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2018,2lb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2019,2lb,73,3979.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Location Based Method /Emissions, energy consumption – Location Based Method (tonnes CO 2 e)",,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2020,2lb,73,3395.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Location Based Method /Emissions, energy consumption – Location Based Method (tonnes CO 2 e)",,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2021,2lb,73,3709.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Location Based Method /Emissions, energy consumption – Location Based Method (tonnes CO 2 e)",,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2022,2lb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2013,2mb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2014,2mb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2015,2mb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2016,2mb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2017,2mb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2018,2mb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2019,2mb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2020,2mb,73,4250.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Market Based Method (tonnes CO 2 e)",,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2021,2mb,73,4087.0,tonnes CO2e,t CO2e,"Emissions, energy consumption – Market Based Method (tonnes CO 2 e)",,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2022,2mb,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2013,3,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2014,3,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2015,3,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2016,3,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2017,3,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2018,3,,,,,,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2019,3,73,23132.0,tonnes CO2e,t CO2e,SCOPE 3/Emissions of greenhouse gases - Scope 3,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2020,3,73,19860.0,tonnes CO2e,t CO2e,SCOPE 4/Emissions of greenhouse gases - Scope 3,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2021,3,73,22961.0,tonnes CO2e,t CO2e,SCOPE 5/Emissions of greenhouse gases - Scope 3,,,,,,,,,,,,,,,,,,
addtech_2022_report,complete,"['1', '2lb', '2mb', '3']","['2019', '2020', '2021']",2022,3,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2013,1,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2014,1,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2015,1,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2016,1,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2017,1,,,,,,,,,,[5056.7],"[5056.7, 125.0, 218.6]",,,,,['tonnes'],"['tonnes', 'tonnes', 'tonnes']",,,,,['Herzogenrath site total (CO2e)'],"['Herzogenrath site - Electricity (kWh) CO₂e', 'Herzogenrath site - Natural gas (kWh) CO₂e', 'Herzogenrath site - District heating (kWh) CO₂e']"
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2018,1,,,,,,,,,,[0.0],"[0.0, 151.0, 289.0]",,,,,['tonnes'],"['tonnes', 'tonnes', 'tonnes']",,,,,['Herzogenrath site total (CO2e)'],"['Herzogenrath site - Electricity (kWh) CO₂e', 'Herzogenrath site - Natural gas (kWh) CO₂e', 'Herzogenrath site - District heating (kWh) CO₂e']"
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2019,1,50,170.8,tonnes of CO2 equivalents,t CO2e,Scope 1 emissions,[170.8],[170.8],[170.8],[170.8],[0.0],"[0.0, 122.88, 234.86, 17.6]",['tonnes'],['tonnes'],['tonnes'],['tonnes'],['tonnes'],"['tonnes', 'tonnes', 'tonnes', 'tonnes']",['total'],['Scope 1 emissions'],['Scope 1 emissions'],['Scope 1 – Direct'],['Herzogenrath site total (CO2e)'],"['Herzogenrath site - Electricity (kWh) CO₂e', 'Herzogenrath site - Natural gas (kWh) CO₂e', 'Herzogenrath site - District heating (kWh) CO₂e', 'Herzogenrath site - Sulphur hexafluoride (SF6) in kg CO₂e']"
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2020,1,49,322.84,metric tons of CO2 equivalents,t CO2e,Scope 1 – Direct,[322.84],[322.84],[322.84],[322.84],[322.84],[322.84],['tonnes'],['tonnes'],['tonnes'],['tonnes'],['tonnes'],['tonnes'],['total'],['Scope 1 emissions'],['Scope 1 emissions'],['Scope 1 – Direct'],['Consolidated total (CO2e)'],['Consolidated - Scope 1 emissions']
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2020,1,50,322.84,tonnes of CO2 equivalents,t CO2e,Scope 1 emissions,[322.84],[322.84],[322.84],[322.84],[322.84],[322.84],['tonnes'],['tonnes'],['tonnes'],['tonnes'],['tonnes'],['tonnes'],['total'],['Scope 1 emissions'],['Scope 1 emissions'],['Scope 1 – Direct'],['Consolidated total (CO2e)'],['Consolidated - Scope 1 emissions']
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2021,1,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2022,1,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2013,2lb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2014,2lb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2015,2lb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2016,2lb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2017,2lb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2018,2lb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2019,2lb,50,406.6,tonnes of CO2 equivalents,t CO2e,Scope 2 emissions,[406.6],[406.6],,,,,['tonnes'],['tonnes'],,,,,['total'],['Scope 2 emissions'],,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2020,2lb,49,398.14,metric tons of CO2 equivalents,t CO2e,Scope 2 – Indirect,[398.14],[398.14],,,,,['tonnes'],['tonnes'],,,,,['total'],['Scope 2 emissions'],,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2020,2lb,50,398.14,tonnes of CO2 equivalents,t CO2e,Scope 2 emissions,[398.14],[398.14],,,,,['tonnes'],['tonnes'],,,,,['total'],['Scope 2 emissions'],,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2021,2lb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2022,2lb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2013,2mb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2014,2mb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2015,2mb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2016,2mb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2017,2mb,,,,,,,,,,[5408.0],"[5408.0, 139.4]",,,,,['tonnes'],"['tonnes', 'tonnes']",,,,,['Herzogenrath site total (CO2e)'],"['Herzogenrath site - Total (kWh)/CO₂e in tonnes', 'UK, Asia, USA - Total CO₂e in tonnes']"
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2018,2mb,,,,,,,,,,[445.0],"[445.0, 171.74]",,,,,['tonnes'],"['tonnes', 'tonnes']",,,,,['Herzogenrath site total (CO2e)'],"['Herzogenrath site - Total (kWh)/CO₂e in tonnes', 'UK, Asia, USA - Total CO₂e in tonnes']"
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2019,2mb,,,,,,,,[406.6],[406.6],[381.0],"[381.0, 129.91]",,,['tonnes'],['tonnes'],['tonnes'],"['tonnes', 'tonnes']",,,['Scope 2 emissions'],['Scope 2 – Indirect'],['Herzogenrath site total (CO2e)'],"['Herzogenrath site - Total (kWh)/CO₂e in tonnes', 'UK, Asia, USA - Total CO₂e in tonnes']"
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2020,2mb,,,,,,,,[398.14],[398.14],[398.14],"[557.0, 398.14]",,,['tonnes'],['tonnes'],['tonnes'],"['tonnes', 'tonnes']",,,['Scope 2 emissions'],['Scope 2 – Indirect'],['Consolidated total (CO2e)'],"['Herzogenrath site - Total (kWh)/CO₂e in tonnes', 'Consolidated - Scope 2 emissions']"
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2021,2mb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2022,2mb,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2013,3,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2014,3,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2015,3,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2016,3,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2017,3,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2018,3,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2019,3,50,3637.97,tonnes of CO2 equivalents,t CO2e,Scope 3 emissions,[3637.97],[3637.97],[3637.97],[3637.97],,,['tonnes'],['tonnes'],['tonnes'],['tonnes'],,,['total'],['Scope 3 emissions'],['Scope 3 emissions'],['Scope 3 – Indirect'],,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2020,3,49,1310.1,metric tons of CO2 equivalents,t CO2e,Scope 3 – Indirect,[1310.1],[1310.1],[1310.1],[1310.1],[1310.1],[1310.1],['tonnes'],['tonnes'],['tonnes'],['tonnes'],['tonnes'],['tonnes'],['total'],['Scope 3 emissions'],['Scope 3 emissions'],['Scope 3 – Indirect'],['Consolidated total (CO2e)'],['Consolidated - Scope 3 emissions']
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2020,3,50,1310.1,tonnes of CO2 equivalents,t CO2e,Scope 3 emissions,[1310.1],[1310.1],[1310.1],[1310.1],[1310.1],[1310.1],['tonnes'],['tonnes'],['tonnes'],['tonnes'],['tonnes'],['tonnes'],['total'],['Scope 3 emissions'],['Scope 3 emissions'],['Scope 3 – Indirect'],['Consolidated total (CO2e)'],['Consolidated - Scope 3 emissions']
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2021,3,,,,,,,,,,,,,,,,,,,,,,,
aixtron_2020_report,partial,"['1', '2lb', '3']","['2019', '2020']",2022,3,,,,,,,,,,,,,,,,,,,,,,,
allfunds group_2021_report,partial,"['1', '2lb']","['2019', '2020', '2021']",2013,1,,,,,,,,,,,,,,,,,,,,,,,
allfunds group_2021_report,partial,"['1', '2lb']","['2019', '2020', '2021']",2014,1,,,,,,,,,,,,,,,,,,,,,,,
allfunds group_2021_report,partial,"['1', '2lb']","['2019', '2020', '2021']",2015,1,,,,,,,,,,,,,,,,,,,,,,,
allfunds group_2021_report,partial,"['1', '2lb']","['2019', '2020', '2021']",2016,1,,,,,,,,,,,,,,,,,,,,,,,
allfunds group_2021_report,partial,"['1', '2lb']","['2019', '2020', '2021']",2017,1,,,,,,,,,,,,,,,,,,,,,,,
allfunds group_2021_report,partial,"['1', '2lb']","['2019', '2020', '2021']",2018,1,,,,,,,,,,,,,,,,,,,,,,,
allfunds group_2021_report,partial,"['1', '2lb']","['2019', '2020', '2021']",2019,1,142,68.51,tCO2e,t CO2e,Scope 1 CO 2 emissions,[68.51],[68.51],,[68.51],,,['tCO2e'],['tCO2e'],,['t CO2 eq'],,,['Scope 1 CO2 emissions (tCO2e)'],['Scope 1 CO2 emissions (tCO2e)'],,['Scope 1 CO2 emissions'],,
allfunds group_2021_report,partial,"['1', '2lb']","['2019', '2020', '2021']",2020,1,142,0.0,tCO2e,t CO2e,Scope 1 CO 2 emissions,[0.0],[0.0],,[0.0],[0.0],[0.0],['tCO2e'],['tCO2e'],,['t CO2 eq'],['t CO2eq'],['t CO2eq'],['Scope 1 CO2 emissions (tCO2e)'],['Scope 1 CO2 emissions (tCO2e)'],,['Scope 1 CO2 emissions'],['Total Scope 1 emissions for all sites'],['Total for all sites']
allfunds group_2021_report,partial,"['1', '2lb']","['2019', '2020', '2021']",2021,1,125,7.31,t CO2eq,t CO2e,Scope 1 /Scope 1,[7.31],[7.31],[7.31],[7.31],[7.31],[7.31],['tCO2e'],['tCO2e'],['t CO2 eq'],['t CO2 eq'],['t CO2eq'],['t CO2eq'],['Scope 1 CO2 emissions (tCO2e)'],['Scope 1 CO2 emissions (tCO2e)'],['Direct emissions (Scope 1)'],['Scope 1 CO2 emissions'],['Total Scope 1 emissions for all sites'],['Total for all sites']
allfunds group_2021_report,partial,"['1', '2lb']","['2019', '2020', '2021']",2021,1,142,7.31,tCO2e,t CO2e,Scope 1 CO 2 emissions,[7.31],[7.31],[7.31],[7.31],[7.31],[7.31],['tCO2e'],['tCO2e'],['t CO2 eq'],['t CO2 eq'],['t CO2eq'],['t CO2eq'],['Scope 1 CO2 emissions (tCO2e)'],['Scope 1 CO2 emissions (tCO2e)'],['Direct emissions (Scope 1)'],['Scope 1 CO2 emissions'],['Total Scope 1 emissions for all sites'],['Total for all sites']
allfunds group_2021_report,partial,"['1', '2lb']","['2019', '2020', '2021']",2022,1,,,,,,,,,,,,,,,,,,,,,,,
allfunds group_2021_report,partial,"['1', '2lb']","['2019', '2020', '2021']",2013,2lb,,,,,,,,,,,,,,,,,,,,,,,
